Seg,Time,Emissions,Lower,Upper,Errors (%)
1,2021/07/30 15:41:00,321.74,179.3,471.71,42.6
2,2021/07/30 15:52:00,232.19,133.63,338.38,40.1
3,2021/07/30 16:07:00,109.22,62.73,160.03,38.6
4,2021/07/30 16:22:00,102.76,59.8,151.54,36.8
5,2021/07/30 16:36:00,152.31,90.07,222.33,34.6
6,2021/07/30 16:51:00,225.42,99.69,392.61,43
7,2021/07/30 17:06:00,82.21,33.3,136.95,56.1
8,2021/07/30 17:22:00,362.67,138.79,613.8,59.2
9,2021/07/30 18:08:00,205.48,89.54,331.16,54.4
