,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,Round 3 test set,WindType,OperatorSet,UnblindingStage,Notes,Satellite,Team,UncertaintyTypeManual,WindSpeedLow,WindSpeedHigh,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,cr_scfh_mean300,cr_scfh_mean600,cr_scfh_mean900,TestLocation,Wind_MPS_mean30,Wind_MPS_mean60,Wind_MPS_mean90,Wind_MPS_mean300,Wind_MPS_mean600,Wind_MPS_mean900,Wind_dir_mean30,Wind_dir_mean60,Wind_dir_mean90,Wind_dir_mean300,Wind_dir_mean600,Wind_dir_mean900,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeDevelopTime,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600,cr_kgh_CH4_mean900,cr_kgh_CH4_lower900,cr_kgh_CH4_upper900,FlowError_kgh,FlowError_percent,datetime_UTC,Altitude (feet)
0,0,2.0,,,33931,,2021-11-03 17:42:31+00:00,,,,Methane,,190.71072878085621,,,,2.6285952,,,,,2021-11-03 17:42:33+00:00,1.0,HRRR,Bridger,1,,,,,,,11292.2,4.0,308188.0,11292.2,False,,11255.703333333333,11215.711666666668,11198.532222222222,8652.823,5507.5355,5680.227444444444,AZ,3.7023333333333337,3.573,3.4016666666666664,2.9348,2.7705166666666665,2.7705166666666665,28.566666666666666,32.016666666666666,33.13333333333333,43.08,38.86,36.333333333333336,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,887.3599999999997,True,3.933333333333334,True,TP,1.0,203.01344894466223,188.92861643197247,217.28624686049062,202.38687649913783,188.71585821336572,216.24804073868088,202.05771657043977,188.0233244930586,216.36854032220128,156.1722813204358,143.88739532607406,168.28872757000843,99.3869378516816,89.45737566073812,109.25893161101696,102.4780165955694,92.48443501542421,112.36839325013403,-11.676147718281612,-5.76922175995505,2021-11-03 17:42:38+00:00,800
1,114,118.0,,,33931,,2021-11-03 17:42:31+00:00,,,,Methane,,165.82802323257133,,,,2.2843744,,,,,2021-11-03 17:42:33+00:00,1.0,NAM12,Bridger,1,,,,,,,11292.2,4.0,308188.0,11292.2,False,,11255.703333333333,11215.711666666668,11198.532222222222,8652.823,5507.5355,5680.227444444444,AZ,3.7023333333333337,3.573,3.4016666666666664,2.9348,2.7705166666666665,2.7705166666666665,28.566666666666666,32.016666666666666,33.13333333333333,43.08,38.86,36.333333333333336,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,887.3599999999997,True,3.933333333333334,True,TP,1.0,203.05513630119538,188.91273810751267,217.254899953934,202.3456705612005,188.37003291208754,216.31750136477027,202.18452984369887,188.12880265509298,216.19688902884212,156.14230022222392,143.9418335913243,168.14044571266342,99.41454167688417,89.67106111293833,109.25205392456168,102.42815089041817,92.53853688335576,112.3945964581597,-36.51764732862918,-18.04716020231539,2021-11-03 17:42:38+00:00,800
2,228,234.0,,,33931,,2021-11-03 17:42:31+00:00,,,,Methane,,242.36548729946742,,,,3.3393888,,,,,2021-11-03 17:42:33+00:00,1.0,Sonic,Bridger,2,,,,,,,11292.2,4.0,308188.0,11292.2,False,,11255.703333333333,11215.711666666668,11198.532222222222,8652.823,5507.5355,5680.227444444444,AZ,3.7023333333333337,3.573,3.4016666666666664,2.9348,2.7705166666666665,2.7705166666666665,28.566666666666666,32.016666666666666,33.13333333333333,43.08,38.86,36.333333333333336,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,887.3599999999997,True,3.933333333333334,True,TP,1.0,203.0897547656797,188.89129584628046,217.37425339203654,202.3407834978298,188.26848591054497,216.48944232818195,202.02498199788533,187.83848406003747,216.19237775997715,156.08107648902623,144.20378693448703,168.21533842296984,99.43058515136644,89.73296629536125,109.3841367412418,102.50795293291108,92.6550653223025,112.43987092888108,40.02470380163763,19.78083859800163,2021-11-03 17:42:38+00:00,800
3,342,350.0,,,33931,,2021-11-03 17:42:31+00:00,,,,Methane,,212.40043718589118,,,,2.928112,,,,,2021-11-03 17:42:33+00:00,1.0,Sonic,Bridger,3,,,,,,,11292.2,4.0,308188.0,11292.2,False,,11255.703333333333,11215.711666666668,11198.532222222222,8652.823,5507.5355,5680.227444444444,AZ,3.7023333333333337,3.573,3.4016666666666664,2.9348,2.7705166666666665,2.7705166666666665,28.566666666666666,32.016666666666666,33.13333333333333,43.08,38.86,36.333333333333336,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,887.3599999999997,True,3.933333333333334,True,TP,1.0,203.0336369068912,188.89032671558994,216.94469206521887,202.4159077883176,188.33426938450268,216.35541141101555,202.09818278670306,188.11268523889717,216.30100162980654,156.16419745186585,144.0451610300295,168.22938039266793,99.36892844792958,89.48713386340319,109.18941273992692,102.46636285736679,92.33888505202978,112.5349413904186,9.984529397573567,4.932680196269546,2021-11-03 17:42:38+00:00,800
4,1,3.0,,,33931,,2021-11-03 17:46:24+00:00,,,,Methane,,202.33021542641066,,,,2.6509471999999996,,,,,2021-11-03 17:46:39+00:00,1.0,HRRR,Bridger,1,,,,,,,11270.2,4.0,308188.0,11270.2,False,,11243.043333333333,11234.973333333333,11236.434444444445,11232.053,9087.887166666666,7312.0618888888885,AZ,3.7023333333333337,3.573,3.4016666666666664,2.9348,2.7705166666666665,2.7705166666666665,28.566666666666666,32.016666666666666,33.13333333333333,43.08,38.86,36.333333333333336,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,1812.3199999999993,True,8.033333333333335,True,TP,1.0,202.82001790274558,188.72041975769702,216.9637905907954,202.8014241097112,188.88702275723372,216.97429499348502,202.82242820812976,188.68885439019485,216.92476698194858,202.6673019337091,188.86190572607782,216.55622542358913,163.97327762492398,151.7520833280284,176.48803501493245,131.8707940221737,120.9434488485142,142.94743971487216,-0.47120868330054577,-0.23234979013048349,2021-11-03 17:46:41+00:00,800
5,115,119.0,,,33931,,2021-11-03 17:46:24+00:00,,,,Methane,,177.14521429059917,,,,2.3201376000000002,,,,,2021-11-03 17:46:39+00:00,1.0,NAM12,Bridger,1,,,,,,,11270.2,4.0,308188.0,11270.2,False,,11243.043333333333,11234.973333333333,11236.434444444445,11232.053,9087.887166666666,7312.0618888888885,AZ,3.7023333333333337,3.573,3.4016666666666664,2.9348,2.7705166666666665,2.7705166666666665,28.566666666666666,32.016666666666666,33.13333333333333,43.08,38.86,36.333333333333336,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,1812.3199999999993,True,8.033333333333335,True,TP,1.0,202.80292247308995,188.719815380208,216.99421633980663,202.6941925795748,188.3633924321394,216.65608392554125,202.8106890411616,188.84438159419656,216.69492916004853,202.55796850165945,188.26670408281072,216.70850095061186,163.8609169599494,151.14496194559464,176.3053331321617,131.87712094218534,120.7536483568573,143.0303239288154,-25.548978288975633,-12.604691808792436,2021-11-03 17:46:41+00:00,800
6,229,235.0,,,33931,,2021-11-03 17:46:24+00:00,,,,Methane,,255.55313230531615,,,,3.3438592000000003,,,,,2021-11-03 17:46:39+00:00,1.0,Sonic,Bridger,2,,,,,,,11270.2,4.0,308188.0,11270.2,False,,11243.043333333333,11234.973333333333,11236.434444444445,11232.053,9087.887166666666,7312.0618888888885,AZ,3.7023333333333337,3.573,3.4016666666666664,2.9348,2.7705166666666665,2.7705166666666665,28.566666666666666,32.016666666666666,33.13333333333333,43.08,38.86,36.333333333333336,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,1812.3199999999993,True,8.033333333333335,True,TP,1.0,202.9805569030573,188.89580322739758,217.45640828062497,202.79967928273248,188.99115489614738,216.68856577948014,202.66295018305436,188.7200158828633,216.79626660089357,202.7292867740636,188.61397099389865,217.0795082270217,164.0322539763873,151.87315817233846,176.4859614915106,131.96983488647967,120.7421016728796,142.93992671220408,52.75345302258367,26.012591937602437,2021-11-03 17:46:41+00:00,800
7,343,351.0,,,33931,,2021-11-03 17:46:24+00:00,,,,Methane,,224.73787585182137,,,,2.9415232,,,,,2021-11-03 17:46:39+00:00,1.0,Sonic,Bridger,3,,,,,,,11270.2,4.0,308188.0,11270.2,False,,11243.043333333333,11234.973333333333,11236.434444444445,11232.053,9087.887166666666,7312.0618888888885,AZ,3.7023333333333337,3.573,3.4016666666666664,2.9348,2.7705166666666665,2.7705166666666665,28.566666666666666,32.016666666666666,33.13333333333333,43.08,38.86,36.333333333333336,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,1812.3199999999993,True,8.033333333333335,True,TP,1.0,203.07214089886259,188.80805716189036,217.33928498287088,202.72832646975064,188.61557129635653,217.36710831892077,202.71458482817343,188.75350948606663,216.71274997025733,202.62918728239885,188.60491316693938,217.05760272886556,163.89156878988015,151.45014696963412,176.4974006333215,131.94459038105077,121.00875113234942,143.08906889793374,22.00954938207073,10.856671963577229,2021-11-03 17:46:41+00:00,800
8,2,4.0,,,33931,,2021-11-03 17:50:38+00:00,,,,Methane,,265.77450185856003,,,,2.704592,,,,,2021-11-03 17:50:41+00:00,1.0,HRRR,Bridger,1,,,,,,,11170.4,4.0,308188.0,11170.4,False,,11234.736666666668,11247.925,11247.691111111111,11252.908333333333,11234.616333333333,9196.861,AZ,3.423,3.1361666666666665,2.9715555555555557,3.0510666666666664,2.919633333333333,2.919633333333333,47.9,38.46666666666667,36.733333333333334,38.42666666666667,38.49166666666667,36.82888888888889,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,2648.894999999999,True,12.066666666666666,True,TP,1.0,202.72643807133454,188.8890419153327,216.93475417292933,202.96343198100942,188.77379797900815,216.80079409184142,203.0444307819801,188.8585196978827,217.17541678874633,202.83642677390847,188.94808689118452,217.0170163183501,202.74663145402374,188.84086214781712,216.86025752671273,165.90529945566814,153.49652962758552,178.4880713821374,62.81106987755061,30.946988462151953,2021-11-03 17:50:45+00:00,800
9,116,120.0,,,33931,,2021-11-03 17:50:38+00:00,,,,Methane,,234.43022812689358,,,,2.3827232,,,,,2021-11-03 17:50:41+00:00,1.0,NAM12,Bridger,1,,,,,,,11170.4,4.0,308188.0,11170.4,False,,11234.736666666668,11247.925,11247.691111111111,11252.908333333333,11234.616333333333,9196.861,AZ,3.423,3.1361666666666665,2.9715555555555557,3.0510666666666664,2.919633333333333,2.919633333333333,47.9,38.46666666666667,36.733333333333334,38.42666666666667,38.49166666666667,36.82888888888889,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,2648.894999999999,True,12.066666666666666,True,TP,1.0,202.81901976454196,188.729185399525,216.8301292735081,202.99634657636824,189.14167854801852,216.87154732059693,202.92820823492943,188.9715842812198,217.28784114841733,203.03122102172347,189.07237838435094,217.05401431898903,202.72491748342404,188.6651994743556,216.63987326843193,166.0105990250982,153.41639800143054,178.595912115897,31.433881550525342,15.484949399668018,2021-11-03 17:50:45+00:00,800
