,Stanford_timestamp,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90,FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UnblindingStage,PipeSize_inch,MeterCode,PlumeEstablished,PlumeSteady,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,Operator_Timestamp
0,2021-07-30 15:41:08+00:00,358.7082781288681,346.30074385435216,371.38851111283117,321.74,471.71,179.3,1,2.0,162928.0,True,True,358.1359506068872,345.6934576445132,372.3168009102981,358.0489220456197,345.34219684404474,371.2074302331835,2021-07-30 15:41:00+00:00
1,2021-07-30 15:52:20+00:00,170.93162767425548,162.8197961435375,179.89023181225164,232.19,338.38,133.63,1,2.0,162928.0,True,True,169.87688033955584,161.74709020396932,178.66080020862904,171.3056787640462,163.08661932093486,180.75246228592945,2021-07-30 15:52:00+00:00
2,2021-07-30 16:07:20+00:00,49.758344027109096,43.1705647863999,56.84843701289648,109.22,160.03,62.73,1,2.0,162928.0,True,True,50.103297896753716,43.616468564201284,57.31903640810022,49.53375877452244,42.728495387743635,56.53605652192498,2021-07-30 16:07:00+00:00
3,2021-07-30 16:22:13+00:00,0.0,0.0,0.0,102.76,151.54,59.8,1,2.0,162928.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,2021-07-30 16:22:00+00:00
4,2021-07-30 16:36:53+00:00,236.4913573246146,227.8451995430545,246.58759086758124,152.31,222.33,90.07,1,2.0,162928.0,True,True,239.03119364020282,229.330578241843,249.09095485451394,237.51144922190778,227.884202549004,247.8433979699766,2021-07-30 16:36:00+00:00
5,2021-07-30 16:51:19+00:00,294.3937891192166,283.62095250459,305.55229220996915,225.42,392.61,99.69,1,2.0,162928.0,True,True,295.23410974495243,284.5085822022578,306.9983983279635,294.59824928731274,284.411455460812,305.78973419634036,2021-07-30 16:51:00+00:00
6,2021-07-30 17:06:22+00:00,94.771752055557,87.36460037457823,102.18169518093244,82.21,136.95,33.3,1,2.0,162928.0,True,True,95.324524792752,88.05309584663313,102.01708859992588,94.18114541086872,86.2360429616752,102.41742886651171,2021-07-30 17:06:00+00:00
7,2021-07-30 17:22:17+00:00,381.1908051806696,369.20596185220893,395.4191412655033,362.67,613.8,138.79,1,2.0,162928.0,True,True,382.4484322217269,369.5155865526096,397.5502563624199,379.91365529906693,368.02431786459124,394.9981925988813,2021-07-30 17:22:00+00:00
8,2021-07-30 18:08:00+00:00,63.469878568816796,58.77740541451858,68.48964070672939,205.48,331.16,89.54,1,4.0,218645.0,True,True,63.99708030490643,59.00445372555296,69.08778500848598,63.30044940478994,58.68556088902138,68.11913411807362,2021-07-30 18:08:00+00:00
9,2021-08-03 15:52:47+00:00,6.567299318921403,2.138542405888853,11.090365647263495,140.85,211.86,76.46,1,4.0,218645.0,True,False,20.554220391647032,16.309788147924856,24.986342998657367,10.330932929084938,5.547383236631062,14.757185481394492,2021-08-03 15:53:00+00:00
10,2021-08-03 16:11:48+00:00,493.3836415777007,478.6301693371619,510.6174724243624,344.58,512.42,189.55,1,4.0,218645.0,True,True,492.3838949091634,476.9004467872288,508.6489473872241,494.6761494721078,478.5570553053051,513.3472717139339,2021-08-03 16:11:00+00:00
11,2021-08-03 16:30:21+00:00,560.0862293183778,544.1315227529069,577.4047399111333,472.22,682.46,280.28,1,4.0,218645.0,True,True,559.6576046989677,543.0489474672106,578.4044958065407,560.5540358597674,544.390994279316,579.0646001573418,2021-08-03 16:30:00+00:00
12,2021-08-03 16:48:33+00:00,297.0726292322723,286.1243126827726,308.07615531914684,299.01,415.01,197.33,1,4.0,218645.0,True,True,295.81952111303923,286.7581104009637,306.0939406705258,296.230584675672,286.3881575867291,306.27054249764257,2021-08-03 16:49:00+00:00
13,2021-08-03 17:06:37+00:00,651.9299897866644,632.1009756676956,673.9656217505423,694.32,859.69,537.16,1,4.0,218645.0,True,True,651.6789517626075,633.4591498590761,673.75818993142,650.569960030468,630.3741630901408,671.3841102333848,2021-08-03 17:06:00+00:00
14,2021-08-03 17:24:17+00:00,689.2742578083506,668.5248162763737,711.5668379656134,648.93,791.07,521.87,1,4.0,218645.0,True,True,684.6801451086249,662.1813142814319,708.3005478111824,688.4785944581872,668.5243607503136,711.177961518167,2021-08-03 17:24:00+00:00
15,2021-08-03 17:41:49+00:00,0.0,0.0,0.0,243.47,326.58,166.76,1,2.0,162928.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,2021-08-03 17:41:00+00:00
16,2021-08-03 17:59:03+00:00,381.36155920859346,368.74904167662714,394.7704062022442,730.75,987.37,494.07,1,2.0,162928.0,True,True,381.4851455892471,368.3453931747081,395.28278289029134,381.5315210072019,369.26724715126164,395.09794479136804,2021-08-03 17:59:00+00:00
17,2021-08-03 18:15:00+00:00,129.59194022935534,121.56744226724135,137.80603403866886,385.89,487.62,288.5,1,2.0,162928.0,True,True,128.7513283750267,121.25010311206171,136.5963464998153,129.69119156206511,121.64911916753543,137.37567363274374,2021-08-03 18:15:00+00:00
18,2021-08-03 18:35:10+00:00,55.68086386287023,48.730615231306594,63.13476826242291,,,,1,2.0,162928.0,True,True,55.686735154611206,48.68288550726344,62.61041596083613,55.98783053911463,49.23786709797259,63.25776795053585,2021-08-03 18:35:00+00:00
