PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Timestamp (hyperspectral technologies only),StartTime,EndTime,SurveyTime,OperatorSet,Satellite,Team,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,UncertaintyTypeManual,WindSpeed,WindDirection,TransitDirection,NumberOfEmissionSourcesReported
35,1,1,10/27/21,18:34:57,,,,Sentinel-2/Harvard,Sentinel-2,Harvard,Methane,,4447,5582,3312,+/- 1 sigma,+/- 1 sigma,3.699061,,,
36,1,1,10/29/21,18:24:58,,,,Sentinel-2/Harvard,Sentinel-2,Harvard,Methane,,4757,5890,3624,+/- 1 sigma,+/- 1 sigma,4.727615,,,
37,1,1,11/1/21,18:34:54,,,,Sentinel-2/Harvard,Sentinel-2,Harvard,Methane,,0,0,0,0,,0,,,
38,1,1,11/3/21,18:25:01,,,,Sentinel-2/Harvard,Sentinel-2,Harvard,Methane,,1787,2333,1241,+/- 1 sigma,+/- 1 sigma,3.798211,,,
39,,,10/17/21,18:34:58,,,,Sentinel-2/SRON,Sentinel-2,SRON,Methane,Exclude,Exclude,Exclude,Exclude,Exclude,,Exclude,,,
40,,,10/19/21,18:24:58,,,,Sentinel-2/SRON,Sentinel-2,SRON,Methane,340,4680,3410,6000,Min/max,Min/max,2.6 [1.7-3.4]  ,197,,
41,,,10/21/21,18:10:37,,,,Landsat 8/SRON,Landsat 8,SRON,Methane,490,2780,2450,3170,Min/max,Min/max,4.1 [3.9-4.4] ,221,,
42,,,10/22/21,18:34:54,,,,Sentinel-2/SRON,Sentinel-2,SRON,Methane,330,1500,1203,1790,Min/max,Min/max,1.9 [1.4-2.3],113,,
43,,,10/24/21,18:25:02,,,,Sentinel-2/SRON,Sentinel-2,SRON,Methane,FR,FR,FR,FR,FR,,FR,FR,,
44,,,10/27/21,18:34:57,,,,Sentinel-2/SRON,Sentinel-2,SRON,Methane,260,2380,1940,2840,Min/max,Min/max,4.2 [3.9-4.4] ,221,,
45,,,10/28/21,18:16:48,,,,Landsat 8/SRON,Landsat 8,SRON,Methane,FR,FR,FR,FR,FR,,FR,FR,,
46,,,10/29/21,18:24:58,,,,Sentinel-2/SRON,Sentinel-2,SRON,Methane,0,0,0,0,0,,0,0,,
47,,,11/1/21,18:34:54,,,,Sentinel-2/SRON,Sentinel-2,SRON,Methane,FR,FR,FR,FR,FR,,FR,FR,,
48,,,11/3/21,18:25:01,,,,Sentinel-2/SRON,Sentinel-2,SRON,Methane,0,0,0,0,0,,0,0,,
