time,flowclean_scfh
10/25/2021 17:12:12,0
10/25/2021 17:12:13,0
10/25/2021 17:12:14,0
10/25/2021 17:12:15,0
10/25/2021 17:12:16,0
10/25/2021 17:12:17,0
10/25/2021 17:12:18,0
10/25/2021 17:12:19,0
10/25/2021 17:12:20,0
10/25/2021 17:12:21,0
10/25/2021 17:12:22,0
10/25/2021 17:12:23,0
10/25/2021 17:12:24,0
10/25/2021 17:12:25,0
10/25/2021 17:12:26,0
10/25/2021 17:12:27,0
10/25/2021 17:12:28,0
10/25/2021 17:12:29,0
10/25/2021 17:12:30,0
10/25/2021 17:12:31,0
10/25/2021 17:12:32,0
10/25/2021 17:12:33,0
10/25/2021 17:12:34,0
10/25/2021 17:12:35,0
10/25/2021 17:12:36,0
10/25/2021 17:12:37,0
10/25/2021 17:12:38,0
10/25/2021 17:12:39,0
10/25/2021 17:12:40,0
10/25/2021 17:12:41,0
10/25/2021 17:12:42,0
10/25/2021 17:12:43,0
10/25/2021 17:12:44,0
10/25/2021 17:12:45,0
10/25/2021 17:12:46,0
10/25/2021 17:12:47,0
10/25/2021 17:12:48,0
10/25/2021 17:12:49,0
10/25/2021 17:12:50,0
10/25/2021 17:12:51,0
10/25/2021 17:12:52,0
10/25/2021 17:12:53,0
10/25/2021 17:12:54,0
10/25/2021 17:12:55,0
10/25/2021 17:12:56,0
10/25/2021 17:12:57,0
10/25/2021 17:12:58,0
10/25/2021 17:12:59,0
10/25/2021 17:13:00,0
10/25/2021 17:13:01,0
10/25/2021 17:13:02,0
10/25/2021 17:13:03,0
10/25/2021 17:13:04,0
10/25/2021 17:13:05,0
10/25/2021 17:13:06,0
10/25/2021 17:13:07,0
10/25/2021 17:13:08,0
10/25/2021 17:13:09,0
10/25/2021 17:13:10,0
10/25/2021 17:13:11,0
10/25/2021 17:13:12,0
10/25/2021 17:13:13,0
10/25/2021 17:13:14,0
10/25/2021 17:13:15,0
10/25/2021 17:13:16,0
10/25/2021 17:13:17,0
10/25/2021 17:13:18,0
10/25/2021 17:13:19,0
10/25/2021 17:13:20,0
10/25/2021 17:13:21,836.15
10/25/2021 17:13:22,1169.27
10/25/2021 17:13:23,3252.1
10/25/2021 17:13:24,5002.06
10/25/2021 17:13:25,7091
10/25/2021 17:13:26,7910.7
10/25/2021 17:13:27,8542.19
10/25/2021 17:13:28,9017.77
10/25/2021 17:13:29,9405
10/25/2021 17:13:30,9883.4
10/25/2021 17:13:31,9805
10/25/2021 17:13:32,9852.1
10/25/2021 17:13:33,9762.2
10/25/2021 17:13:34,9762.2
10/25/2021 17:13:35,9765.9
10/25/2021 17:13:36,9651.2
10/25/2021 17:13:37,9707.9
10/25/2021 17:13:38,9627.7
10/25/2021 17:13:39,9627.6
10/25/2021 17:13:40,9579.7
10/25/2021 17:13:41,9814.2
10/25/2021 17:13:42,10114
10/25/2021 17:13:43,10894
10/25/2021 17:13:44,11004
10/25/2021 17:13:45,11075
10/25/2021 17:13:46,11160
10/25/2021 17:13:47,11144
10/25/2021 17:13:48,11136
10/25/2021 17:13:49,11102
10/25/2021 17:13:50,11104
10/25/2021 17:13:51,10930
10/25/2021 17:13:52,10939
10/25/2021 17:13:53,10934
10/25/2021 17:13:54,10876
10/25/2021 17:13:55,10890
10/25/2021 17:13:56,11152
10/25/2021 17:13:57,11279
10/25/2021 17:13:58,11344
10/25/2021 17:13:59,11380
10/25/2021 17:14:00,11333
10/25/2021 17:14:01,11233
10/25/2021 17:14:02,11293
10/25/2021 17:14:03,11258
10/25/2021 17:14:04,11254
10/25/2021 17:14:05,11250
10/25/2021 17:14:06,11245
10/25/2021 17:14:07,11248
10/25/2021 17:14:08,11321
10/25/2021 17:14:09,11536
10/25/2021 17:14:10,11885
10/25/2021 17:14:11,12015
10/25/2021 17:14:12,12037
10/25/2021 17:14:13,12075
10/25/2021 17:14:14,12168
10/25/2021 17:14:15,12283
10/25/2021 17:14:16,12416
10/25/2021 17:14:17,12470
10/25/2021 17:14:18,12572
10/25/2021 17:14:19,12659
10/25/2021 17:14:20,12745
10/25/2021 17:14:21,12824
10/25/2021 17:14:22,12882
10/25/2021 17:14:23,13010
10/25/2021 17:14:24,13119
10/25/2021 17:14:25,13119
10/25/2021 17:14:26,13190
10/25/2021 17:14:27,13325
10/25/2021 17:14:28,13354
10/25/2021 17:14:29,13460
10/25/2021 17:14:30,13507
10/25/2021 17:14:31,13532
10/25/2021 17:14:32,13531
10/25/2021 17:14:33,13585
10/25/2021 17:14:34,13692
10/25/2021 17:14:35,13731
10/25/2021 17:14:36,13812
10/25/2021 17:14:37,14007
10/25/2021 17:14:38,14046
10/25/2021 17:14:39,13967
10/25/2021 17:14:40,14011
10/25/2021 17:14:41,14032
10/25/2021 17:14:42,13449
10/25/2021 17:14:43,12456
10/25/2021 17:14:44,11422
10/25/2021 17:14:45,11094
10/25/2021 17:14:46,10598
10/25/2021 17:14:47,10482
10/25/2021 17:14:48,10403
10/25/2021 17:14:49,10347
10/25/2021 17:14:50,10364
10/25/2021 17:14:51,10396
10/25/2021 17:14:52,10396
10/25/2021 17:14:53,10396
10/25/2021 17:14:54,10519
10/25/2021 17:14:55,10635
10/25/2021 17:14:56,10966
10/25/2021 17:14:57,11669
10/25/2021 17:14:58,11162
10/25/2021 17:14:59,11242
10/25/2021 17:15:00,11267
10/25/2021 17:15:01,11312
10/25/2021 17:15:02,11323
10/25/2021 17:15:03,11303
10/25/2021 17:15:04,11323
10/25/2021 17:15:05,11302
10/25/2021 17:15:06,11303
10/25/2021 17:15:07,11327
10/25/2021 17:15:08,11345
10/25/2021 17:15:09,11345
10/25/2021 17:15:10,11327
10/25/2021 17:15:11,11310
10/25/2021 17:15:12,11293
10/25/2021 17:15:13,11263
10/25/2021 17:15:14,11291
10/25/2021 17:15:15,11288
10/25/2021 17:15:16,11267
10/25/2021 17:15:17,11265
10/25/2021 17:15:18,11252
10/25/2021 17:15:19,11257
10/25/2021 17:15:20,11227
10/25/2021 17:15:21,11253
10/25/2021 17:15:22,11246
10/25/2021 17:15:23,11266
10/25/2021 17:15:24,11266
10/25/2021 17:15:25,11281
10/25/2021 17:15:26,11237
10/25/2021 17:15:27,11244
10/25/2021 17:15:28,11267
10/25/2021 17:15:29,11252
10/25/2021 17:15:30,11252
10/25/2021 17:15:31,11252
10/25/2021 17:15:32,11279
10/25/2021 17:15:33,11266
10/25/2021 17:15:34,11301
10/25/2021 17:15:35,11284
10/25/2021 17:15:36,11273
10/25/2021 17:15:37,11290
10/25/2021 17:15:38,11274
10/25/2021 17:15:39,11253
