timestamp,channel 1,channel 2,channel 3,channel 4
11/02/2021 18:12:56,>Range,-215.5,>Range,>Range
11/02/2021 18:12:57,>Range,-215.9,>Range,>Range
11/02/2021 18:12:58,>Range,-215.7,>Range,>Range
11/02/2021 18:12:59,>Range,-215.6,>Range,>Range
11/02/2021 18:13:00,>Range,-215.5,>Range,>Range
11/02/2021 18:13:01,>Range,-215.5,>Range,>Range
11/02/2021 18:13:02,>Range,-215.9,>Range,>Range
11/02/2021 18:13:03,>Range,-215.7,>Range,>Range
11/02/2021 18:13:04,>Range,-216.1,>Range,>Range
11/02/2021 18:13:05,>Range,-215.8,>Range,>Range
11/02/2021 18:13:06,>Range,-216.6,>Range,>Range
11/02/2021 18:13:07,>Range,-217.1,>Range,>Range
11/02/2021 18:13:08,>Range,-216.8,>Range,>Range
11/02/2021 18:13:09,>Range,-216.1,>Range,>Range
11/02/2021 18:13:10,>Range,-215.8,>Range,>Range
11/02/2021 18:13:11,>Range,-215.7,>Range,>Range
11/02/2021 18:13:12,>Range,-215.6,>Range,>Range
11/02/2021 18:13:13,>Range,-215.5,>Range,>Range
11/02/2021 18:13:14,>Range,-215.5,>Range,>Range
11/02/2021 18:13:15,>Range,-215.5,>Range,>Range
11/02/2021 18:13:16,>Range,-216.3,>Range,>Range
11/02/2021 18:13:17,>Range,-215.9,>Range,>Range
11/02/2021 18:13:18,>Range,-216,>Range,>Range
11/02/2021 18:13:19,>Range,-216.4,>Range,>Range
11/02/2021 18:13:20,>Range,-216,>Range,>Range
11/02/2021 18:13:21,>Range,-216.7,>Range,>Range
11/02/2021 18:13:22,>Range,-217.2,>Range,>Range
11/02/2021 18:13:23,>Range,-218.7,>Range,>Range
11/02/2021 18:13:24,>Range,-220.5,>Range,>Range
11/02/2021 18:13:25,>Range,-217.7,>Range,>Range
11/02/2021 18:13:26,>Range,-219.5,>Range,>Range
11/02/2021 18:13:27,>Range,-222.4,>Range,>Range
11/02/2021 18:13:28,>Range,-223,>Range,>Range
11/02/2021 18:13:29,>Range,-219.6,>Range,>Range
11/02/2021 18:13:30,>Range,-218.6,>Range,>Range
11/02/2021 18:13:31,>Range,-222.4,>Range,>Range
11/02/2021 18:13:32,>Range,-219.7,>Range,>Range
11/02/2021 18:13:33,>Range,-221.2,>Range,>Range
11/02/2021 18:13:34,>Range,-218.7,>Range,>Range
11/02/2021 18:13:35,>Range,-219.6,>Range,>Range
11/02/2021 18:13:36,>Range,-219.7,>Range,>Range
11/02/2021 18:13:37,>Range,-221.3,>Range,>Range
11/02/2021 18:13:38,>Range,-219,>Range,>Range
11/02/2021 18:13:39,>Range,-218.8,>Range,>Range
11/02/2021 18:13:40,>Range,-215.5,>Range,>Range
11/02/2021 18:13:41,>Range,-216.6,>Range,>Range
11/02/2021 18:13:42,>Range,-216,>Range,>Range
11/02/2021 18:13:43,>Range,-216.7,>Range,>Range
11/02/2021 18:13:44,>Range,-220.3,>Range,>Range
11/02/2021 18:13:45,>Range,-219.6,>Range,>Range
11/02/2021 18:13:46,>Range,-219.7,>Range,>Range
11/02/2021 18:13:47,>Range,-221.7,>Range,>Range
11/02/2021 18:13:48,>Range,-219.1,>Range,>Range
11/02/2021 18:13:49,>Range,-218.9,>Range,>Range
11/02/2021 18:13:50,>Range,-220.3,>Range,>Range
11/02/2021 18:13:51,>Range,-220.6,>Range,>Range
11/02/2021 18:13:52,>Range,-221.4,>Range,>Range
11/02/2021 18:13:53,>Range,-222.7,>Range,>Range
11/02/2021 18:13:54,>Range,-221.3,>Range,>Range
11/02/2021 18:13:55,>Range,-219.5,>Range,>Range
11/02/2021 18:13:56,>Range,189.4,>Range,>Range
11/02/2021 18:13:57,>Range,1065.6,>Range,>Range
11/02/2021 18:13:58,>Range,2296.1,>Range,>Range
11/02/2021 18:13:59,>Range,3541.6,>Range,>Range
11/02/2021 18:14:00,>Range,4736.9,>Range,>Range
11/02/2021 18:14:01,>Range,5771.3,>Range,>Range
11/02/2021 18:14:02,>Range,7204.4,>Range,>Range
11/02/2021 18:14:03,>Range,9504,>Range,>Range
11/02/2021 18:14:04,>Range,11750.4,>Range,>Range
11/02/2021 18:14:05,>Range,13675.3,>Range,>Range
11/02/2021 18:14:06,>Range,15191.5,>Range,>Range
11/02/2021 18:14:07,>Range,16307,>Range,>Range
11/02/2021 18:14:08,>Range,17110.4,>Range,>Range
11/02/2021 18:14:09,>Range,17964.6,>Range,>Range
11/02/2021 18:14:10,>Range,19396.6,>Range,>Range
11/02/2021 18:14:11,>Range,21421.1,>Range,>Range
11/02/2021 18:14:12,>Range,23735.8,>Range,>Range
11/02/2021 18:14:13,>Range,25545.2,>Range,>Range
11/02/2021 18:14:14,>Range,26876.9,>Range,>Range
11/02/2021 18:14:15,>Range,27701.4,>Range,>Range
11/02/2021 18:14:16,>Range,28164.7,>Range,>Range
11/02/2021 18:14:17,>Range,28467.8,>Range,>Range
11/02/2021 18:14:18,>Range,29051.9,>Range,>Range
11/02/2021 18:14:19,>Range,30131.2,>Range,>Range
11/02/2021 18:14:20,>Range,31472.5,>Range,>Range
11/02/2021 18:14:21,>Range,33110.8,>Range,>Range
11/02/2021 18:14:22,>Range,34542.3,>Range,>Range
11/02/2021 18:14:23,>Range,35768.7,>Range,>Range
11/02/2021 18:14:24,>Range,36660.3,>Range,>Range
11/02/2021 18:14:25,>Range,37331.1,>Range,>Range
11/02/2021 18:14:26,>Range,37833.4,>Range,>Range
11/02/2021 18:14:27,>Range,38632,>Range,>Range
11/02/2021 18:14:28,>Range,40722,>Range,>Range
11/02/2021 18:14:29,>Range,44114.7,>Range,>Range
11/02/2021 18:14:30,>Range,47292.2,>Range,>Range
11/02/2021 18:14:31,>Range,49925.3,>Range,>Range
11/02/2021 18:14:32,>Range,52160.3,>Range,>Range
11/02/2021 18:14:33,>Range,53692.8,>Range,>Range
11/02/2021 18:14:34,>Range,54692.1,>Range,>Range
11/02/2021 18:14:35,>Range,55329.3,>Range,>Range
11/02/2021 18:14:36,>Range,55810.5,>Range,>Range
11/02/2021 18:14:37,>Range,56238.8,>Range,>Range
11/02/2021 18:14:38,>Range,56558.7,>Range,>Range
11/02/2021 18:14:39,>Range,56720.9,>Range,>Range
11/02/2021 18:14:40,>Range,56935.9,>Range,>Range
11/02/2021 18:14:41,>Range,57124.7,>Range,>Range
11/02/2021 18:14:42,>Range,57193.1,>Range,>Range
11/02/2021 18:14:43,>Range,57135,>Range,>Range
11/02/2021 18:14:44,>Range,56989.4,>Range,>Range
11/02/2021 18:14:45,>Range,56854.7,>Range,>Range
11/02/2021 18:14:46,>Range,56770.8,>Range,>Range
11/02/2021 18:14:47,>Range,56763.3,>Range,>Range
11/02/2021 18:14:48,>Range,56751.9,>Range,>Range
11/02/2021 18:14:49,>Range,56711.1,>Range,>Range
11/02/2021 18:14:50,>Range,56746.2,>Range,>Range
11/02/2021 18:14:51,>Range,56768.4,>Range,>Range
11/02/2021 18:14:52,>Range,56702.4,>Range,>Range
11/02/2021 18:14:53,>Range,56574.2,>Range,>Range
11/02/2021 18:14:54,>Range,56502.5,>Range,>Range
11/02/2021 18:14:55,>Range,56456,>Range,>Range
11/02/2021 18:14:56,>Range,56355.5,>Range,>Range
11/02/2021 18:14:57,>Range,56300.1,>Range,>Range
11/02/2021 18:14:58,>Range,56339.9,>Range,>Range
11/02/2021 18:14:59,>Range,56303.5,>Range,>Range
11/02/2021 18:15:00,>Range,56271.4,>Range,>Range
11/02/2021 18:15:01,>Range,56194.4,>Range,>Range
11/02/2021 18:15:02,>Range,56174.1,>Range,>Range
11/02/2021 18:15:03,>Range,56166,>Range,>Range
11/02/2021 18:15:04,>Range,56226.8,>Range,>Range
11/02/2021 18:15:05,>Range,56296.2,>Range,>Range
11/02/2021 18:15:06,>Range,56338.4,>Range,>Range
11/02/2021 18:15:07,>Range,56340.8,>Range,>Range
11/02/2021 18:15:08,>Range,56336.3,>Range,>Range
11/02/2021 18:15:09,>Range,56310,>Range,>Range
11/02/2021 18:15:10,>Range,56291.4,>Range,>Range
11/02/2021 18:15:11,>Range,56327.2,>Range,>Range
11/02/2021 18:15:12,>Range,56360.4,>Range,>Range
11/02/2021 18:15:13,>Range,56421.1,>Range,>Range
11/02/2021 18:15:14,>Range,56421.3,>Range,>Range
11/02/2021 18:15:15,>Range,56430.9,>Range,>Range
11/02/2021 18:15:16,>Range,56495.1,>Range,>Range
11/02/2021 18:15:17,>Range,56492,>Range,>Range
11/02/2021 18:15:18,>Range,56474.4,>Range,>Range
11/02/2021 18:15:19,>Range,56450.5,>Range,>Range
11/02/2021 18:15:20,>Range,56456.3,>Range,>Range
11/02/2021 18:15:21,>Range,56488.5,>Range,>Range
11/02/2021 18:15:22,>Range,56559.1,>Range,>Range
11/02/2021 18:15:23,>Range,56584,>Range,>Range
11/02/2021 18:15:24,>Range,56575.4,>Range,>Range
11/02/2021 18:15:25,>Range,56490.5,>Range,>Range
