time,flow_scfh
10/16/2021 18:10:36,112952.6
10/16/2021 18:10:37,113783
10/16/2021 18:10:38,112887.3
10/16/2021 18:10:39,112157
10/16/2021 18:10:40,112193.7
10/16/2021 18:10:41,112330.4
10/16/2021 18:10:42,112674.7
10/16/2021 18:10:43,113422
10/16/2021 18:10:44,113086.5
10/16/2021 18:10:45,112196.5
10/16/2021 18:10:46,112568.5
10/16/2021 18:10:47,112499.4
10/16/2021 18:10:48,112894.1
10/16/2021 18:10:49,113553.9
10/16/2021 18:10:50,112733.9
10/16/2021 18:10:51,112743.2
10/16/2021 18:10:52,112828
10/16/2021 18:10:53,112693.1
10/16/2021 18:10:54,114019.7
10/16/2021 18:10:55,113924.6
10/16/2021 18:10:56,112116.1
10/16/2021 18:10:57,111661.2
10/16/2021 18:10:58,112657.3
10/16/2021 18:10:59,112653
10/16/2021 18:11:00,112800
10/16/2021 18:11:01,113491.8
10/16/2021 18:11:02,113154.4
10/16/2021 18:11:03,114034.6
10/16/2021 18:11:04,113332.9
10/16/2021 18:11:05,112545.1
10/16/2021 18:11:06,112458.2
10/16/2021 18:11:07,112648.4
10/16/2021 18:11:08,113106.8
10/16/2021 18:11:09,114059.2
10/16/2021 18:11:10,114051.8
10/16/2021 18:11:11,117295.4
10/16/2021 18:11:12,127825.7
10/16/2021 18:11:14,131305.3
10/16/2021 18:11:15,133704.8
10/16/2021 18:11:16,134539.1
10/16/2021 18:11:18,135422.7
10/16/2021 18:11:19,136016.5
10/16/2021 18:11:20,134413.6
10/16/2021 18:11:21,135738.9
10/16/2021 18:11:22,134958.4
10/16/2021 18:11:23,133932.6
10/16/2021 18:11:24,135149.9
10/16/2021 18:11:25,136273
10/16/2021 18:11:26,134964.2
10/16/2021 18:11:27,136061.5
10/16/2021 18:11:28,135882.4
10/16/2021 18:11:29,135091
10/16/2021 18:11:31,134771
10/16/2021 18:11:32,134694.5
10/16/2021 18:11:33,135809.3
10/16/2021 18:11:34,134844.8
10/16/2021 18:11:35,135200.3
10/16/2021 18:11:36,135188.7
10/16/2021 18:11:37,134111.2
10/16/2021 18:11:38,133695.9
10/16/2021 18:11:39,134724.3
10/16/2021 18:11:40,132930.9
10/16/2021 18:11:41,134018.8
10/16/2021 18:11:42,135183.7
10/16/2021 18:11:45,135225.6
10/16/2021 18:11:46,134351.6
10/16/2021 18:11:47,134985.8
10/16/2021 18:11:48,131639.2
10/16/2021 18:11:49,134058.4
10/16/2021 18:11:50,134333.8
10/16/2021 18:11:51,133865.8
10/16/2021 18:11:52,133711.6
10/16/2021 18:11:53,134747.9
10/16/2021 18:11:54,133557
10/16/2021 18:11:55,134525.4
10/16/2021 18:11:56,134304.1
10/16/2021 18:11:57,131351.4
10/16/2021 18:11:58,134673
10/16/2021 18:11:59,133967.4
10/16/2021 18:12:00,134315.3
10/16/2021 18:12:01,136400.7
10/16/2021 18:12:02,133690.2
10/16/2021 18:12:03,132561.6
10/16/2021 18:12:04,134171.7
10/16/2021 18:12:05,134197.4
10/16/2021 18:12:06,132963
10/16/2021 18:12:07,134314.3
10/16/2021 18:12:08,133898.8
10/16/2021 18:12:09,133735.4
10/16/2021 18:12:10,134280.9
10/16/2021 18:12:12,134428.3
10/16/2021 18:12:13,134026.2
10/16/2021 18:12:14,133333
10/16/2021 18:12:15,134153.5
10/16/2021 18:12:16,133313.2
10/16/2021 18:12:17,134028.1
10/16/2021 18:12:18,134544.5
10/16/2021 18:12:19,133381.6
10/16/2021 18:12:20,133812.6
10/16/2021 18:12:21,133513.6
10/16/2021 18:12:22,132954.3
10/16/2021 18:12:23,133893.7
10/16/2021 18:12:24,134572.4
10/16/2021 18:12:25,134275.4
10/16/2021 18:12:26,134955.1
10/16/2021 18:12:27,133096.6
10/16/2021 18:12:28,132571.3
10/16/2021 18:12:29,133237.9
10/16/2021 18:12:30,132867.3
10/16/2021 18:12:31,134206.4
10/16/2021 18:12:32,134141.9
10/16/2021 18:12:33,133360.8
10/16/2021 18:12:34,134223.8
10/16/2021 18:12:35,133486
10/16/2021 18:12:36,132415.6
10/16/2021 18:12:37,133463.2
10/16/2021 18:12:39,133199.8
10/16/2021 18:12:40,133498.6
10/16/2021 18:12:41,132544.3
10/16/2021 18:12:43,131771.5
10/16/2021 18:12:44,131834.9
10/16/2021 18:12:45,132778.2
10/16/2021 18:12:46,132507.2
10/16/2021 18:12:47,131336.1
10/16/2021 18:12:48,134599.7
10/16/2021 18:12:49,132787.4
10/16/2021 18:12:50,131486.3
10/16/2021 18:12:51,132210.5
10/16/2021 18:12:52,131953.4
10/16/2021 18:12:53,132288.8
10/16/2021 18:12:54,132765.6
10/16/2021 18:12:55,132196.1
10/16/2021 18:12:57,133916.3
10/16/2021 18:12:58,132308.4
10/16/2021 18:12:59,132995.3
10/16/2021 18:13:00,133013.1
10/16/2021 18:13:01,132505.5
10/16/2021 18:13:02,132809
10/16/2021 18:13:03,132129.5
10/16/2021 18:13:04,132062.7
10/16/2021 18:13:05,132517.5
10/16/2021 18:13:06,133447.9
10/16/2021 18:13:07,134998
10/16/2021 18:13:08,134169.1
10/16/2021 18:13:09,132538
10/16/2021 18:13:10,132867.3
10/16/2021 18:13:11,132746.3
10/16/2021 18:13:12,132454.9
10/16/2021 18:13:13,132672.9
10/16/2021 18:13:14,132259
10/16/2021 18:13:15,133634.2
10/16/2021 18:13:16,134120.1
10/16/2021 18:13:17,132478.9
10/16/2021 18:13:18,131178.3
10/16/2021 18:13:19,132957.8
10/16/2021 18:13:20,132709.6
10/16/2021 18:13:21,132766.3
10/16/2021 18:13:23,132335.1
10/16/2021 18:13:24,133387.8
10/16/2021 18:13:25,133387.8
10/16/2021 18:13:26,132384.9
10/16/2021 18:13:27,132764.6
10/16/2021 18:13:29,132722.7
10/16/2021 18:13:30,132660.9
10/16/2021 18:13:33,132643.5
10/16/2021 18:13:34,131869.6
10/16/2021 18:13:35,132086.2
10/16/2021 18:13:36,132499.5
10/16/2021 18:13:37,131414.4
10/16/2021 18:13:38,132525.6
10/16/2021 18:13:39,131472.2
10/16/2021 18:13:40,132122.5
10/16/2021 18:13:41,133554.8
10/16/2021 18:13:42,132189.3
10/16/2021 18:13:43,131338.7
10/16/2021 18:13:44,132381.9
10/16/2021 18:13:45,131970.7
10/16/2021 18:13:46,132197.9
10/16/2021 18:13:47,132421.5
10/16/2021 18:13:48,132246.2
10/16/2021 18:13:49,133471.5
10/16/2021 18:13:50,133437.1
10/16/2021 18:13:51,132653.3
10/16/2021 18:13:52,133325.4
10/16/2021 18:13:53,132810.2
10/16/2021 18:13:54,132506.4
10/16/2021 18:13:56,131303.4
10/16/2021 18:13:57,132458
10/16/2021 18:13:58,132578.8
10/16/2021 18:13:59,131889.4
10/16/2021 18:14:00,133843.6
10/16/2021 18:14:01,131449.9
10/16/2021 18:14:02,130256.5
10/16/2021 18:14:03,131194
10/16/2021 18:14:04,131832.2
10/16/2021 18:14:06,132240.4
10/16/2021 18:14:07,131560
10/16/2021 18:14:08,132157.2
10/16/2021 18:14:09,132499.7
10/16/2021 18:14:10,131260.7
10/16/2021 18:14:11,131753.8
10/16/2021 18:14:12,132311.6
10/16/2021 18:14:13,131822.6
10/16/2021 18:14:14,132790.6
10/16/2021 18:14:15,132364.2
10/16/2021 18:14:16,131323.5
10/16/2021 18:14:17,132142.8
10/16/2021 18:14:18,132141.8
10/16/2021 18:14:20,133444.3
10/16/2021 18:14:22,131117.8
10/16/2021 18:14:23,132321.8
10/16/2021 18:14:24,131432.7
10/16/2021 18:14:25,132657
10/16/2021 18:14:26,133748.8
10/16/2021 18:14:28,131800.3
10/16/2021 18:14:30,131437.9
10/16/2021 18:14:31,131745.6
10/16/2021 18:14:32,131387.1
10/16/2021 18:14:33,131123.4
10/16/2021 18:14:34,133442.7
10/16/2021 18:14:35,132713.6
10/16/2021 18:14:36,138778.5
10/16/2021 18:14:37,132049.9
10/16/2021 18:14:38,131877.8
10/16/2021 18:14:39,130960.2
10/16/2021 18:14:40,131765.1
10/16/2021 18:14:41,131349.3
10/16/2021 18:14:42,131479.5
10/16/2021 18:14:43,132240.7
10/16/2021 18:14:44,131513.8
10/16/2021 18:14:45,131712.5
10/16/2021 18:14:46,131924.2
10/16/2021 18:14:47,131239.4
10/16/2021 18:14:48,132450.3
10/16/2021 18:14:49,133627.3
10/16/2021 18:14:50,130593.3
10/16/2021 18:14:51,131420.7
10/16/2021 18:14:52,132031.8
10/16/2021 18:14:53,131146.3
10/16/2021 18:14:54,131375.9
10/16/2021 18:14:56,131756.5
10/16/2021 18:14:57,132705.6
10/16/2021 18:14:58,133037
10/16/2021 18:14:59,130358
10/16/2021 18:15:00,131225.6
10/16/2021 18:15:01,131041.2
10/16/2021 18:15:02,130699.1
10/16/2021 18:15:03,132034.2
10/16/2021 18:15:04,131001.4
10/16/2021 18:15:05,130946.8
10/16/2021 18:15:06,131258.2
10/16/2021 18:15:07,131529.3
10/16/2021 18:15:08,133288
10/16/2021 18:15:10,130385.7
10/16/2021 18:15:11,130095.6
10/16/2021 18:15:12,131343.3
10/16/2021 18:15:13,131316.6
10/16/2021 18:15:14,130975.8
10/16/2021 18:15:15,131510.8
10/16/2021 18:15:16,131346.9
10/16/2021 18:15:17,131645.8
10/16/2021 18:15:18,133122.2
10/16/2021 18:15:19,131232.4
10/16/2021 18:15:20,130327.9
10/16/2021 18:15:21,13084.5
10/16/2021 18:15:22,129739.3
10/16/2021 18:15:23,130402.6
10/16/2021 18:15:24,130857.3
10/16/2021 18:15:25,132486.7
10/16/2021 18:15:26,133302
10/16/2021 18:15:27,132178.4
10/16/2021 18:15:29,130267.4
10/16/2021 18:15:30,131639.5
10/16/2021 18:15:31,130362.6
10/16/2021 18:15:32,130587.7
10/16/2021 18:15:33,131163.1
10/16/2021 18:15:34,130721.1
10/16/2021 18:15:36,131330.4
10/16/2021 18:15:37,130166.6
10/16/2021 18:15:38,130180.8
10/16/2021 18:15:39,131141.5
10/16/2021 18:15:40,130569.9
10/16/2021 18:15:41,131090.8
10/16/2021 18:15:42,131029.7
10/16/2021 18:15:43,130894.3
10/16/2021 18:15:44,133421.5
10/16/2021 18:15:45,131413.8
10/16/2021 18:15:46,129711.7
10/16/2021 18:15:47,130779.4
10/16/2021 18:15:49,130853.8
10/16/2021 18:15:50,131480
10/16/2021 18:15:51,131173.1
10/16/2021 18:15:52,131010.4
10/16/2021 18:15:53,132539
10/16/2021 18:15:54,130460.4
10/16/2021 18:15:55,128879.8
10/16/2021 18:15:56,129992.8
10/16/2021 18:15:58,129389.9
10/16/2021 18:15:59,130526.9
10/16/2021 18:16:00,130504.2
10/16/2021 18:16:02,132172.1
10/16/2021 18:16:03,131015.2
10/16/2021 18:16:04,128987.2
10/16/2021 18:16:05,130141.5
10/16/2021 18:16:06,131610.3
10/16/2021 18:16:07,129995.2
10/16/2021 18:16:08,130613.4
10/16/2021 18:16:09,130618.4
10/16/2021 18:16:10,130657
10/16/2021 18:16:11,133155.6
10/16/2021 18:16:12,131078.3
10/16/2021 18:16:13,129129.3
10/16/2021 18:16:14,129273.3
10/16/2021 18:16:15,131080.4
10/16/2021 18:16:16,128846
10/16/2021 18:16:17,129819.5
10/16/2021 18:16:18,130106.6
10/16/2021 18:16:19,128954.3
10/16/2021 18:16:20,130023.1
10/16/2021 18:16:21,131104.4
10/16/2021 18:16:22,129571.5
10/16/2021 18:16:23,129799
10/16/2021 18:16:24,130550.2
10/16/2021 18:16:25,129996.8
10/16/2021 18:16:26,130311.7
10/16/2021 18:16:27,130755.8
10/16/2021 18:16:28,138451.7
10/16/2021 18:16:29,131333.3
10/16/2021 18:16:30,131138.4
10/16/2021 18:16:31,129466.4
10/16/2021 18:16:32,129988.3
10/16/2021 18:16:33,131446.3
10/16/2021 18:16:34,129701.7
10/16/2021 18:16:35,130402.4
10/16/2021 18:16:36,130499.8
10/16/2021 18:16:37,129508
10/16/2021 18:16:38,131142.3
10/16/2021 18:16:39,131285.2
10/16/2021 18:16:40,128755.2
10/16/2021 18:16:41,128558.2
10/16/2021 18:16:42,129540.2
10/16/2021 18:16:44,130607.4
10/16/2021 18:16:45,130750.4
10/16/2021 18:16:46,129431
10/16/2021 18:16:47,129440.9
10/16/2021 18:16:48,130200.2
10/16/2021 18:16:49,129475.8
10/16/2021 18:16:50,130373.8
10/16/2021 18:16:51,130417.6
10/16/2021 18:16:52,120254.8
10/16/2021 18:16:53,131657.4
10/16/2021 18:16:54,130923.4
10/16/2021 18:16:55,130452.4
10/16/2021 18:16:56,131154
10/16/2021 18:16:57,129875
10/16/2021 18:16:58,130956.8
10/16/2021 18:16:59,132405.4
10/16/2021 18:17:00,131064.5
10/16/2021 18:17:01,131520.6
10/16/2021 18:17:02,130791.2
10/16/2021 18:17:03,130322.1
10/16/2021 18:17:04,132055.6
10/16/2021 18:17:05,132635
10/16/2021 18:17:06,130321.5
10/16/2021 18:17:07,131698.4
10/16/2021 18:17:08,131954.5
10/16/2021 18:17:09,130615.6
10/16/2021 18:17:10,131434
10/16/2021 18:17:11,131099.9
10/16/2021 18:17:12,130274
10/16/2021 18:17:13,130813.6
10/16/2021 18:17:15,131052.9
10/16/2021 18:17:16,131717.7
10/16/2021 18:17:17,130495.5
10/16/2021 18:17:18,129027.1
10/16/2021 18:17:20,130189
10/16/2021 18:17:21,130001.9
10/16/2021 18:17:22,130853.5
10/16/2021 18:17:23,130862.7
10/16/2021 18:17:24,131596.7
10/16/2021 18:17:25,131602.3
10/16/2021 18:17:26,129633.1
10/16/2021 18:17:27,129212.1
10/16/2021 18:17:28,130586.7
10/16/2021 18:17:29,129992.2
10/16/2021 18:17:30,130173.9
10/16/2021 18:17:31,130877.1
10/16/2021 18:17:32,130232.4
10/16/2021 18:17:33,131155.5
10/16/2021 18:17:34,130644.8
10/16/2021 18:17:35,129497.9
10/16/2021 18:17:37,131177.9
10/16/2021 18:17:38,130668.4
10/16/2021 18:17:39,132150.2
