,Stanford_timestamp,cr_kgh_CH4_mean900,cr_kgh_CH4_lower900,cr_kgh_CH4_upper900,FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UnblindingStage,PipeSize_inch,MeterCode,PlumeEstablished,PlumeSteady,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600,Operator_Timestamp,PlumeDevelopIndex,tc_Classification
28,2021-10-20 19:30:00+00:00,31.569156301209446,31.357392640716615,31.701841862574433,248.68,,,1,0.5,21175085.0,True,True,31.169403471776395,30.96302934049676,31.30314662910214,31.65771413991716,31.44718818700332,31.792623779328842,2021-10-20 19:30:00+00:00,> 15,TP
29,2021-10-20 19:45:00+00:00,13.285857379903801,13.196107826874446,13.341062132374217,202.34,,,1,0.5,21175085.0,True,True,12.18974659906988,12.108063530400596,12.24106607653181,12.196379692599097,12.115284324972231,12.24836618882925,2021-10-20 19:45:00+00:00,> 15,TP
30,2021-10-20 20:00:00+00:00,0.0,0.0,0.0,44.6,,,1,2.0,218645.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-20 20:00:00+00:00,< 15,FP
31,2021-10-20 20:15:00+00:00,17.626904410639245,14.831969186590715,20.473738539851997,13.01,,,1,2.0,218645.0,True,True,50.513454162189326,46.56807619976172,54.44032769044585,26.419042932724576,23.350531322764233,29.445384829644127,2021-10-20 20:15:00+00:00,< 10,TP
32,2021-10-20 20:30:00+00:00,50.67813359855027,46.74641433797281,54.63335005485905,0.03,,,1,2.0,218645.0,True,True,50.696881540213724,46.75989415214406,54.68213046912585,50.8846911073167,46.88221524460867,54.88375447910057,2021-10-20 20:30:00+00:00,> 15,TP
33,2021-10-20 20:45:00+00:00,133.06167649709013,125.20051900845166,140.840366631995,0,,,1,2.0,218645.0,True,True,194.10565125103273,183.2752412129253,205.18527693673252,174.45073350681272,164.72356389350824,184.32944948096832,2021-10-20 20:45:00+00:00,< 10,FN
34,2021-10-21 17:45:00+00:00,31.548008560981764,-3463.525540753436,3525.303660771593,,,,1,8.0,218645.0,True,True,139.9431961661832,-2727.871997773808,3078.941167146041,60.77348485268975,-3453.0988298922634,3558.0665841960804,,< 5,ER
35,2021-10-21 18:00:00+00:00,125.51197914828644,-36777.84562535362,36795.29142340863,376.66,,,1,8.0,218645.0,True,True,2072.063006304679,-37040.04603647411,42494.03108156454,1042.9536561098405,-41876.28407225166,44391.265984146805,2021-10-21 18:00:00+00:00,< 5,TP
36,2021-10-21 18:15:00+00:00,740.2714779611001,-63088.00666396708,65737.24182357707,,,,1,8.0,218645.0,True,True,2319.431220309732,-37751.515534601625,42669.06481238928,1621.8029695667353,-56725.6409820787,59786.59307200489,,> 15,ER
37,2021-10-21 18:45:00+00:00,533.5720608276097,482.6430316032428,584.1816887137458,3.32,,,1,8.0,218645.0,True,True,744.1698556665368,685.4583087558879,802.1454804365294,761.6987947334701,703.3069964693842,821.8610049669467,2021-10-21 18:45:00+00:00,< 10,TP
38,2021-10-21 19:00:00+00:00,722.143779365282,664.3833723542632,779.8606923206763,4.96,,,1,8.0,218645.0,True,True,730.1571726364259,671.5099958057541,788.094829885275,720.6327521549366,663.0024302070791,776.9684398507219,2021-10-21 19:00:00+00:00,> 15,TP
39,2021-10-21 19:15:00+00:00,917.8043820797524,851.4297326550485,983.9139815838838,11.27,,,1,8.0,218645.0,True,True,927.8636351745341,862.1239367381486,992.2717387095381,931.7173379975826,864.4156757200559,997.3694035029165,2021-10-21 19:15:00+00:00,< 15,TP
40,2021-10-21 19:30:00+00:00,813.8697837861783,752.309194156265,876.3255670018499,,,,1,8.0,218645.0,True,True,764.3679649523236,704.3363292735825,823.767199973992,770.7942050833075,711.4308718781589,830.4385714280921,,< 10,ER
41,2021-10-21 19:45:00+00:00,0.0,0.0,0.0,67.7,,,1,0.5,21175085.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-21 19:45:00+00:00,< 10,FP
42,2021-10-21 20:00:00+00:00,11.425456006738296,11.348839126637415,11.473501876852305,0,,,1,0.5,21175085.0,True,True,19.790509246715203,19.65852062542002,19.87446211678973,15.550619884834026,15.446616468482137,15.616291769099965,2021-10-21 20:00:00+00:00,< 10,FN
43,2021-10-21 20:15:00+00:00,12.029122211156878,11.948480881757943,12.07973047222168,0,,,1,0.5,21175085.0,True,True,5.065710976100061,5.031459803823545,5.086728506616954,8.081600491680286,8.02801350155739,8.116198225184093,2021-10-21 20:15:00+00:00,< 10,FN
44,2021-10-21 20:30:00+00:00,19.30540571551207,19.176632725689863,19.38728085883982,0,,,1,0.5,21175085.0,False,True,23.914123673653524,23.754330945604778,24.0152633803807,23.280593910061896,23.125221992638483,23.37924390102607,2021-10-21 20:30:00+00:00,< 5,NE
45,2021-10-21 20:45:00+00:00,28.938144560824277,28.746014176473395,29.06177838327621,0,,,1,0.5,21175085.0,True,True,28.598404073915322,28.407752269056854,28.719800795409792,28.842652629021917,28.654020680814106,28.968774373498,2021-10-21 20:45:00+00:00,> 15,FN
46,2021-10-21 21:00:00+00:00,0.0,0.0,0.0,0,,,1,0.5,21175085.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-21 21:00:00+00:00,> 15,TN
