,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,Round 3 test set,WindType,OperatorSet,UnblindingStage,Notes,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,cr_scfh_mean300,cr_scfh_mean600,cr_scfh_mean900,TestLocation,Wind_MPS_mean300,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeDevelopTime,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600,cr_kgh_CH4_mean900,cr_kgh_CH4_lower900,cr_kgh_CH4_upper900,PlumeDevelopIndex
33,1986,,,,,,2021-10-20 20:45:00+00:00,,,,,,0,,,,3.0,292.0,,,,2021-10-20 20:45:00+00:00,,,SOOFIE,1,,10813.61,2.0,218645.0,10813.61,False,,10730.145333333332,10722.281833333333,10737.949888888888,10747.3369,9666.89845,7373.092022222222,AZ,3.087833333333333,2021-10-20 20:37:21+00:00,2021-10-21 17:43:41+00:00,2032.0,1459.67,True,7.650000000000001,True,FN,0.0,193.73936569400598,182.8217711443084,204.78626808568166,193.4629139953385,182.49007347892987,204.50833395066417,193.7212703870956,182.77385720270448,204.81226515117334,194.10565125103273,183.2752412129253,205.18527693673252,174.45073350681272,164.72356389350824,184.32944948096832,133.06167649709013,125.20051900845166,140.840366631995,< 10
34,2070,,,,,,,,,,,,,,,,,,,,,2021-10-21 17:45:00+00:00,,,SOOFIE,1,,57996.0,8.0,218645.0,57996.0,True,,57996.0,57996.0,51552.0,16839.7143,13761.669283333335,12749.975666666665,AZ,3.7290333333333328,2021-10-21 17:43:41+00:00,2021-10-21 17:55:38+00:00,2033.0,281.35999999999996,True,1.3166666666666667,True,ER,0.0,1045.1091989537902,970.8060195899222,1121.2257275583975,1046.9903802901756,968.1106712765691,1125.8082500825483,935.4474220136635,848.2060845999542,1023.9242335417905,139.9431961661832,-2727.871997773808,3078.941167146041,60.77348485268975,-3453.0988298922634,3558.0665841960804,31.548008560981764,-3463.525540753436,3525.303660771593,< 5
35,2071,,,,,,2021-10-21 18:00:00+00:00,,,,,,376.66,,,,3.1,9.0,,,,2021-10-21 18:00:00+00:00,,,SOOFIE,1,,231569.0,8.0,218645.0,231569.0,True,,231569.0,231569.0,231569.0,231569.0,171012.68333333332,132368.0011111111,AZ,3.858166666666667,2021-10-21 17:55:38+00:00,2021-10-21 18:27:30+00:00,2034.0,1004.3649999999999,True,4.366666666666666,True,TP,1.0,4174.616784351429,3933.1979683185164,4411.418188384952,4178.965497125107,3922.5425102840427,4439.053895204937,4200.339548766773,3862.0339452909852,4532.540838131309,2072.063006304679,-37040.04603647411,42494.03108156454,1042.9536561098405,-41876.28407225166,44391.265984146805,125.51197914828644,-36777.84562535362,36795.29142340863,< 5
36,2072,,,,,,,,,,,,,,,,,,,,,2021-10-21 18:15:00+00:00,,,SOOFIE,1,,231569.0,8.0,218645.0,231569.0,True,,231569.0,231569.0,231569.0,231569.0,231569.0,231569.0,AZ,3.9252666666666665,2021-10-21 17:55:38+00:00,2021-10-21 18:27:30+00:00,2034.0,4574.1900000000005,True,19.366666666666667,True,ER,0.0,4171.521466588114,3932.7493824287,4410.578152758428,4180.255896424123,3923.938151175314,4438.728347284803,4204.437196376115,3865.756238704504,4546.793121937271,2319.431220309732,-37751.515534601625,42669.06481238928,1621.8029695667353,-56725.6409820787,59786.59307200489,740.2714779611001,-63088.00666396708,65737.24182357707,> 15
37,2074,,,,,,2021-10-21 18:45:00+00:00,,,,,,3.32,,,,3.9,17.0,,,,2021-10-21 18:45:00+00:00,,,SOOFIE,1,,40672.6,8.0,218645.0,40672.6,False,,40512.21666666667,40643.600000000006,40684.56777777778,41230.36733333333,42209.34683333333,29593.448555555555,AZ,4.213966666666666,2021-10-21 18:35:08+00:00,2021-10-21 19:00:47+00:00,2036.0,2479.9500000000003,True,9.866666666666667,True,TP,1.0,730.9221083243326,673.5202105334224,789.5029374178699,733.284604985199,674.9737484228333,790.1172944235154,734.4650045586169,674.9198126245772,793.8133526579517,744.1698556665368,685.4583087558879,802.1454804365294,761.6987947334701,703.3069964693842,821.8610049669467,533.5720608276097,482.6430316032428,584.1816887137458,< 10
38,2075,,,,,,2021-10-21 19:00:00+00:00,,,,,,4.96,,,,2.7,11.0,,,,2021-10-21 19:00:00+00:00,,,SOOFIE,1,,51385.9,8.0,218645.0,51385.9,False,,53104.509999999995,46540.79000000001,43953.43111111111,40448.187666666665,39921.006166666666,39988.14388888889,AZ,4.1536,2021-10-21 18:35:08+00:00,2021-10-21 19:00:47+00:00,2036.0,6166.32,True,24.866666666666667,True,TP,1.0,958.2453947278731,891.2011153243568,1024.8189191619922,839.6719611379042,777.1109634206255,901.1425904564576,793.8294569258494,733.7441963265451,854.3453837837385,730.1571726364259,671.5099958057541,788.094829885275,720.6327521549366,663.0024302070791,776.9684398507219,722.143779365282,664.3833723542632,779.8606923206763,> 15
39,2076,,,,,,2021-10-21 19:15:00+00:00,,,,,,11.27,,,,2.1,313.0,,,,2021-10-21 19:15:00+00:00,,,SOOFIE,1,,51421.4,8.0,218645.0,51421.4,False,,51406.34,51333.431666666664,51360.82,51411.45866666667,51652.651333333335,50871.499,AZ,4.015300000000001,2021-10-21 19:00:47+00:00,2021-10-21 19:22:11+00:00,2037.0,3486.015,True,14.216666666666667,True,TP,1.0,927.8421313820195,860.7728476996538,994.4710636580037,926.2132419863176,861.2005871617472,992.0867311607606,926.76994806134,860.6057029708597,992.5546686399292,927.8636351745341,862.1239367381486,992.2717387095381,931.7173379975826,864.4156757200559,997.3694035029165,917.8043820797524,851.4297326550485,983.9139815838838,< 15
40,2077,,,,,,,,,,,,,,,,,,,,,2021-10-21 19:30:00+00:00,,,SOOFIE,1,,42311.1,8.0,218645.0,42311.1,False,,42160.14333333333,42130.668333333335,42180.43222222222,42392.431333333334,42751.48133333334,45110.95811111111,AZ,3.516266666666667,2021-10-21 19:22:11+00:00,2021-10-21 19:39:38+00:00,2038.0,1745.55,True,7.816666666666667,True,ER,0.0,760.6203473826195,700.0015268423672,819.2070359545914,759.7848810344029,700.7108252962763,818.4876028081908,761.448991570928,702.5543753837075,821.3843109879025,764.3679649523236,704.3363292735825,823.767199973992,770.7942050833075,711.4308718781589,830.4385714280921,813.8697837861783,752.309194156265,876.3255670018499,< 10
41,2078,,,,,,2021-10-21 19:45:00+00:00,,,,,,67.7,,,,3.1,332.0,,,,2021-10-21 19:45:00+00:00,,,SOOFIE,1,,-124.4,0.5,21175085.0,0.0,False,,0.0,0.0,0.0,0.0,0.0,0.0,AZ,3.5675666666666666,2021-10-21 19:39:38+00:00,2021-10-21 19:52:29+00:00,2039.0,1143.795,True,5.366666666666666,False,FP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,< 10
42,2079,,,,,,2021-10-21 20:00:00+00:00,,,,,,0,,,,2.4,330.0,,,,2021-10-21 20:00:00+00:00,,,SOOFIE,1,,-124.4,0.5,21175085.0,1109.2903678594118,False,5.8,1109.2903678594116,1110.8841758592098,1110.7779219925565,1092.8422693014963,857.8830939712745,629.2991506402445,AZ,3.8524000000000003,2021-10-21 19:52:29+00:00,2021-10-21 20:07:40+00:00,2040.0,1635.875,True,7.516666666666667,True,FN,0.0,20.08872454252062,19.953366814470375,20.17254708087313,20.11782467447442,19.98193715662849,20.201431257546677,20.115111263638855,19.980032467287234,20.199505645905877,19.790509246715203,19.65852062542002,19.87446211678973,15.550619884834026,15.446616468482137,15.616291769099965,11.425456006738296,11.348839126637415,11.473501876852305,< 10
