RH,Temperature,"_id","_index","_score","_type","all_emission",date,device,"device.keyword",emission,"emission_voc",id,"max_voc",methane,operator,region,"short_name","short_name.keyword",site,status,"status.keyword","wind_direction","wind_direction_std","wind_speed"
"46.5","20.8","Site Map",methanemizer,"-","_doc","-","Oct 26, 2021 @ 00:00","Stanford-3","Stanford-3",0,0,"Stanford:2021-10-26T06:00","0.401","3.41",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,225,"5.5",3
"45.7",21,"Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 23:45","Stanford-3","Stanford-3",0,0,"Stanford:2021-10-26T05:45","0.387","3.45",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,204,"13.3","0.8"
"45.2","21.6","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 23:30","Stanford-6","Stanford-6",0,0,"Stanford:2021-10-26T05:30","0.43","3.92",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,265,"6.3","2.7"
"49.2","22.2","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 23:15","Stanford-6","Stanford-6",0,0,"Stanford:2021-10-26T05:15","0.473","3.97",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,242,"11.2","5.4"
"48.6","22.6","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 22:45","Stanford-3","Stanford-3",0,0,"Stanford:2021-10-26T04:45","0.476","3.56",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,197,"8.5","6.5"
"48.2","22.6","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 22:00","Stanford-2","Stanford-2",0,0,"Stanford:2021-10-26T04:00","0.474","3.44",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,203,"7.2","7.3"
"47.1","22.9","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 21:30","Stanford-8","Stanford-8",0,0,"Stanford:2021-10-26T03:30","0.484","3.66",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,209,"7.3","8.1"
"46.3","23.1","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 21:15","Stanford-6","Stanford-6",0,0,"Stanford:2021-10-26T03:15","0.491","3.74",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,218,"7.7","7.4"
"46.2","23.1","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 21:00","Stanford-6","Stanford-6",0,0,"Stanford:2021-10-26T03:00","0.493","3.77",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,206,"8.2","4.9"
"46.3","23.1","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 20:45","Stanford-2","Stanford-2",0,0,"Stanford:2021-10-26T02:45","0.494","3.44",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,202,"5.9","6.5"
"46.7","23.2","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 20:30","Stanford-2","Stanford-2",0,0,"Stanford:2021-10-26T02:30","0.507","3.42",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,212,"7.2","6.4"
"45.9","23.6","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 20:15","Stanford-6","Stanford-6",0,0,"Stanford:2021-10-26T02:15","0.523","3.72",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,215,"5.3","7.3"
