,Stanford_timestamp,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90,FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UnblindingStage,PipeSize_inch,MeterCode,PlumeEstablished,PlumeSteady,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,Operator_Timestamp
100,2021-10-19 17:52:05+00:00,5173.872201485716,4889.9108070937,5468.261070574754,3514.0,4825.0,2203.0,2,8.0,218645.0,True,True,5307.039926436621,5014.582766246186,5613.38421763991,5225.59038650937,4938.663491830237,5525.17103750846,2021-10-19 17:51:10+00:00
101,2021-10-19 17:52:05+00:00,5175.684978829674,4888.766239122781,5466.134985457374,4142.0,5520.0,2764.0,3,8.0,218645.0,True,True,5309.710433200602,5015.938113488958,5606.70313089182,5224.292696336168,4934.8732144463,5516.384651791164,2021-10-19 17:51:10+00:00
102,2021-10-19 17:56:32+00:00,5939.362962268531,5613.943816408013,6270.657144173162,1276.0,2036.0,516.0,1,8.0,218645.0,False,True,6355.932538336065,6005.163403696016,6715.690291236167,6090.250954391657,5758.069188931529,6424.351605118741,2021-10-19 17:56:26+00:00
103,2021-10-19 17:56:32+00:00,5941.133178105793,5614.537499070641,6275.511624364582,2946.0,4027.0,1865.0,2,8.0,218645.0,False,True,6357.688473863217,6003.8577812196245,6721.859107492229,6088.181741916544,5749.379226090234,6432.81834861585,2021-10-19 17:56:26+00:00
104,2021-10-19 17:56:32+00:00,5940.287304211543,5614.678007077947,6273.327272412125,5824.0,7885.0,3763.0,3,8.0,218645.0,False,True,6354.490073841306,6011.679193072375,6712.466065103159,6088.049341388955,5760.984641755495,6424.00893651068,2021-10-19 17:56:26+00:00
105,2021-10-19 18:00:48+00:00,4391.833151679473,4151.471645078836,4638.686564664715,1062.0,1681.0,443.0,1,8.0,218645.0,True,True,4181.690082343495,3950.1721682228113,4416.7975582527515,4283.7813321624635,4047.3666863777003,4525.832320865505,2021-10-19 18:00:45+00:00
106,2021-10-19 18:00:48+00:00,4391.589322354515,4152.780481794878,4637.449945496308,2098.0,2828.0,1367.0,2,8.0,218645.0,True,True,4182.024958995329,3954.191590751646,4413.534001327678,4283.368579316386,4051.725174326823,4523.571195625053,2021-10-19 18:00:45+00:00
107,2021-10-19 18:00:48+00:00,4393.104100816874,4154.713164548566,4637.389806530668,3462.0,4693.0,2231.0,3,8.0,218645.0,True,True,4182.811638878389,3955.3149927072786,4417.069670468982,4282.55655823424,4046.558060783237,4522.303914908066,2021-10-19 18:00:45+00:00
108,2021-10-19 18:06:25+00:00,6332.422876161484,5986.252886520737,6680.850501814868,1489.0,2360.0,618.0,1,8.0,218645.0,False,True,6426.99969847121,6075.832541238218,6791.1739437962,6412.65827149968,6061.655942690464,6772.845447928778,2021-10-19 18:06:19+00:00
109,2021-10-19 18:06:25+00:00,6331.542634524284,5983.683825581031,6684.422049244507,2823.0,3840.0,1805.0,2,8.0,218645.0,False,True,6427.9773782240545,6077.240894601124,6788.234715807298,6410.570964229024,6063.377682616191,6769.7293455098925,2021-10-19 18:06:19+00:00
110,2021-10-19 18:06:25+00:00,6331.629321000973,5982.388470996294,6689.012736636319,3583.0,4857.0,2309.0,3,8.0,218645.0,False,True,6427.268150777906,6072.433993528325,6793.437039267355,6406.861205009353,6054.7592131857555,6772.673488561602,2021-10-19 18:06:19+00:00
