datetime_UTC,instantaneous_scfh
08/03/21 10:22:57,0
08/03/21 10:25:02,0
08/03/21 10:26:59,0
08/03/21 10:28:46,0
08/03/21 10:30:42,0
08/03/21 10:32:39,0
08/03/21 10:34:53,0
08/03/21 10:36:41,0
08/03/21 10:38:58,0
08/03/21 10:40:51,0
08/03/21 10:43:01,0
08/03/21 10:44:45,0
08/03/21 10:46:50,0
08/03/21 10:48:28,0

