time,release_scfh
8/3/2021 16:18,42260.45
8/3/2021 16:19,42267.07
8/3/2021 16:19,42171.04
8/3/2021 16:19,40166.52
8/3/2021 16:19,40080.96
8/3/2021 16:19,39976.01
8/3/2021 16:19,39877.2
8/3/2021 16:20,39772.15
8/3/2021 16:20,39866.58
8/3/2021 16:20,39974.49
8/3/2021 16:20,39919.56
8/3/2021 16:20,39843.6
8/3/2021 16:20,39789.28
8/3/2021 16:21,39737.39
8/3/2021 16:21,35872.31
8/3/2021 16:21,35892.66
8/3/2021 16:21,35916.86
8/3/2021 16:21,35729.63
8/3/2021 16:21,35565.62
8/3/2021 16:22,35762.3
8/3/2021 16:22,35752.38
8/3/2021 16:22,35632.44
8/3/2021 16:22,35839.59
8/3/2021 16:22,35793.31
8/3/2021 16:22,35702.26
8/3/2021 16:23,35583.78
8/3/2021 16:23,35672.25
8/3/2021 16:23,35514.61
8/3/2021 16:23,35389.18
8/3/2021 16:23,35282.23
8/3/2021 16:23,35449.79
8/3/2021 16:24,35385.36
8/3/2021 16:24,35351.05
8/3/2021 16:24,35330.22
8/3/2021 16:24,35518.06
8/3/2021 16:24,35259.38
8/3/2021 16:24,35318.79
8/3/2021 16:25,35301.25
8/3/2021 16:25,35235.7
8/3/2021 16:25,35485.61
8/3/2021 16:25,35236.22
8/3/2021 16:25,35210.44
8/3/2021 16:25,35303.53
8/3/2021 16:26,35263.13
8/3/2021 16:26,35278.39
8/3/2021 16:26,35173.29
8/3/2021 16:26,35283.54
8/3/2021 16:26,35272.43
8/3/2021 16:26,35277.76
8/3/2021 16:27,35137.13
8/3/2021 16:27,35125.52
8/3/2021 16:27,35138.21
8/3/2021 16:27,35019.07
8/3/2021 16:27,34986.94
8/3/2021 16:27,35213.49
8/3/2021 16:28,35010.99
8/3/2021 16:28,35057.39
8/3/2021 16:28,34947.46
8/3/2021 16:28,34901.32
8/3/2021 16:28,34882
8/3/2021 16:28,34771.49
8/3/2021 16:29,34813.29
8/3/2021 16:29,34776.56
8/3/2021 16:29,34608.95
8/3/2021 16:29,34574.32
8/3/2021 16:29,34600.98
8/3/2021 16:29,34769.13
8/3/2021 16:30,34784.93
8/3/2021 16:30,34536.46
8/3/2021 16:30,34689.52
8/3/2021 16:30,34657.08
8/3/2021 16:30,34702.55
8/3/2021 16:30,30523.44
8/3/2021 16:31,23926.22
8/3/2021 16:31,16914.73
8/3/2021 16:31,16619.37
8/3/2021 16:31,19283.28
8/3/2021 16:31,19405.95
8/3/2021 16:31,19572.32
8/3/2021 16:32,19540.13
8/3/2021 16:32,19457.28
8/3/2021 16:32,19398.62
8/3/2021 16:32,19296.34
8/3/2021 16:32,19286.78
8/3/2021 16:32,19431.19
8/3/2021 16:33,19462.92
8/3/2021 16:33,19578.87
8/3/2021 16:33,19531.58
8/3/2021 16:33,19421.48
8/3/2021 16:33,19586.35
8/3/2021 16:33,19489.84
8/3/2021 16:34,19235.93
8/3/2021 16:34,19232.57
8/3/2021 16:34,19247.82
8/3/2021 16:34,19180.66
8/3/2021 16:34,19232.96
8/3/2021 16:34,19050.32
8/3/2021 16:35,19162.31
8/3/2021 16:35,19121.76
8/3/2021 16:35,19063.25
8/3/2021 16:35,19133.54
8/3/2021 16:35,19055.38
8/3/2021 16:35,18944.66
8/3/2021 16:36,18907.56
8/3/2021 16:36,19017.96
8/3/2021 16:36,18861.72
8/3/2021 16:36,18882.06
