,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,Round 3 test set,WindType,OperatorSet,UnblindingStage,Notes,Satellite,Team,UncertaintyTypeManual,WindSpeedLow,WindSpeedHigh,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,cr_scfh_mean300,cr_scfh_mean600,cr_scfh_mean900,TestLocation,Wind_MPS_mean30,Wind_MPS_mean60,Wind_MPS_mean90,Wind_MPS_mean300,Wind_MPS_mean600,Wind_MPS_mean900,Wind_dir_mean30,Wind_dir_mean60,Wind_dir_mean90,Wind_dir_mean300,Wind_dir_mean600,Wind_dir_mean900,Wind_MPS_sd30,Wind_MPS_sd60,Wind_MPS_sd90,Wind_MPS_sd300,Wind_MPS_sd600,Wind_MPS_sd900,Wind_dir_sd30,Wind_dir_sd60,Wind_dir_sd90,Wind_dir_sd300,Wind_dir_sd600,Wind_dir_sd900,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeDevelopTime,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600,cr_kgh_CH4_mean900,cr_kgh_CH4_lower900,cr_kgh_CH4_upper900,FlowError_kgh,FlowError_percent,WindError_mps,WindError_percent,datetime_UTC,Altitude (feet)
0,0,2.0,,,33931.0,,2021-11-03 17:42:31+00:00,,,,Methane,,190.71072878085621,,,,2.6285952,,,,,2021-11-03 17:42:33+00:00,1.0,HRRR,Bridger,1,,,,,,,11292.2,4.0,308188.0,11292.2,False,,11255.703333333333,11215.711666666668,11198.532222222222,8652.823,5507.5355,5680.227444444444,AZ,3.7023333333333337,3.573,3.4016666666666664,2.9348,2.7705166666666665,2.7705166666666665,28.566666666666666,32.016666666666666,33.13333333333333,43.08,38.86,36.333333333333336,0.3605807894870892,0.3672818157810231,0.6193876098502046,0.5916246211135079,0.5960108622909795,0.5960108622909795,5.430966976409234,5.658327196854894,6.928527576767155,10.648233794538086,17.436181751081936,18.928822829328713,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,887.3599999999997,True,3.933333333333334,True,TP,1.0,203.117051193331,189.13286615279844,217.35784235145948,202.44146801414453,188.10526885932705,216.80332520599134,201.9366194735599,188.10600191288222,215.96927189695998,156.12881553709298,144.61595194905834,168.2960475736491,99.339201208355,89.67432156349737,109.05356210528971,102.55441720519194,92.77552369164003,112.57430692567813,-11.730739233288318,-5.794632566322179,-0.30620480000000017,-10.433583208395808,,
1,114,118.0,,,33931.0,,2021-11-03 17:42:31+00:00,,,,Methane,,165.82802323257133,,,,2.2843744,,,,,2021-11-03 17:42:33+00:00,1.0,NAM12,Bridger,1,,,,,,,11292.2,4.0,308188.0,11292.2,False,,11255.703333333333,11215.711666666668,11198.532222222222,8652.823,5507.5355,5680.227444444444,AZ,3.7023333333333337,3.573,3.4016666666666664,2.9348,2.7705166666666665,2.7705166666666665,28.566666666666666,32.016666666666666,33.13333333333333,43.08,38.86,36.333333333333336,0.3605807894870892,0.3672818157810231,0.6193876098502046,0.5916246211135079,0.5960108622909795,0.5960108622909795,5.430966976409234,5.658327196854894,6.928527576767155,10.648233794538086,17.436181751081936,18.928822829328713,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,887.3599999999997,True,3.933333333333334,True,TP,1.0,203.0969785288243,189.04345393168052,217.1853280521984,202.44270191141305,188.41735687859511,216.75104086343308,202.09360746716266,187.73359788409297,216.25149215646863,156.1654091082142,144.58399629323154,168.45644343854974,99.37946739252376,89.62821910864258,109.20405330843631,102.42161917837936,92.75244593509127,112.55332366876694,-36.61467867884173,-18.086440426419497,-0.6504256000000002,-22.16251874062969,,
2,228,234.0,,,33931.0,,2021-11-03 17:42:31+00:00,,,,Methane,,242.36548729946742,,,,3.3393888,,,,,2021-11-03 17:42:33+00:00,1.0,Sonic,Bridger,2,,,,,,,11292.2,4.0,308188.0,11292.2,False,,11255.703333333333,11215.711666666668,11198.532222222222,8652.823,5507.5355,5680.227444444444,AZ,3.7023333333333337,3.573,3.4016666666666664,2.9348,2.7705166666666665,2.7705166666666665,28.566666666666666,32.016666666666666,33.13333333333333,43.08,38.86,36.333333333333336,0.3605807894870892,0.3672818157810231,0.6193876098502046,0.5916246211135079,0.5960108622909795,0.5960108622909795,5.430966976409234,5.658327196854894,6.928527576767155,10.648233794538086,17.436181751081936,18.928822829328713,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,887.3599999999997,True,3.933333333333334,True,TP,1.0,202.8745324679027,188.83852242305335,216.76072743470306,202.36191036072114,188.51883246544108,216.42733934306236,201.99626244450366,188.3036067464386,216.09429136648652,156.14311720632185,144.20984048050408,168.1166070729745,99.39728839378594,89.69269063291428,109.17268201732541,102.46154793398426,92.40104973711718,112.45298330697074,40.00357693874628,19.76833331304183,0.40458879999999997,13.785907046476762,,
3,342,350.0,,,33931.0,,2021-11-03 17:42:31+00:00,,,,Methane,,212.40043718589118,,,,2.928112,,,,,2021-11-03 17:42:33+00:00,1.0,Sonic,Bridger,3,,,,,,,11292.2,4.0,308188.0,11292.2,False,,11255.703333333333,11215.711666666668,11198.532222222222,8652.823,5507.5355,5680.227444444444,AZ,3.7023333333333337,3.573,3.4016666666666664,2.9348,2.7705166666666665,2.7705166666666665,28.566666666666666,32.016666666666666,33.13333333333333,43.08,38.86,36.333333333333336,0.3605807894870892,0.3672818157810231,0.6193876098502046,0.5916246211135079,0.5960108622909795,0.5960108622909795,5.430966976409234,5.658327196854894,6.928527576767155,10.648233794538086,17.436181751081936,18.928822829328713,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,887.3599999999997,True,3.933333333333334,True,TP,1.0,203.11852975840523,189.1441662318813,217.01627076345682,202.33972451216886,188.21876600223615,216.5241413858944,202.079348500863,188.08337378859943,216.3901738863042,156.15102333536208,144.2767493843722,168.25741477079214,99.39991141755105,89.8831394221527,109.272525328994,102.49535168675911,92.60071030927425,112.43169147031335,10.060712673722321,4.9721885793697735,-0.006688000000000027,-0.22788605697151515,,
4,1,3.0,,,33931.0,,2021-11-03 17:46:24+00:00,,,,Methane,,202.33021542641066,,,,2.6509471999999996,,,,,2021-11-03 17:46:39+00:00,1.0,HRRR,Bridger,1,,,,,,,11270.2,4.0,308188.0,11270.2,False,,11243.043333333333,11234.973333333333,11236.434444444445,11232.053,9087.887166666666,7312.0618888888885,AZ,3.7023333333333337,3.573,3.4016666666666664,2.9348,2.7705166666666665,2.7705166666666665,28.566666666666666,32.016666666666666,33.13333333333333,43.08,38.86,36.333333333333336,0.3605807894870892,0.3672818157810231,0.6193876098502046,0.5916246211135079,0.5960108622909795,0.5960108622909795,5.430966976409234,5.658327196854894,6.928527576767155,10.648233794538086,17.436181751081936,18.928822829328713,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,1812.3199999999993,True,8.033333333333335,True,TP,1.0,202.80432319000028,189.10269366970576,216.64777566756385,202.92626480226136,188.6450599319918,216.9433042241296,202.81080018394013,188.5919308337536,216.90895104761105,202.64231472967074,188.7658880984656,216.79541102507622,164.08359074964693,151.78112867984905,176.3057813894566,132.03084154542944,121.03798185180486,143.25027509264302,-0.5960493758506971,-0.2937270719645429,-0.28385280000000046,-9.67196401799102,,
5,115,119.0,,,33931.0,,2021-11-03 17:46:24+00:00,,,,Methane,,177.14521429059917,,,,2.3201376000000002,,,,,2021-11-03 17:46:39+00:00,1.0,NAM12,Bridger,1,,,,,,,11270.2,4.0,308188.0,11270.2,False,,11243.043333333333,11234.973333333333,11236.434444444445,11232.053,9087.887166666666,7312.0618888888885,AZ,3.7023333333333337,3.573,3.4016666666666664,2.9348,2.7705166666666665,2.7705166666666665,28.566666666666666,32.016666666666666,33.13333333333333,43.08,38.86,36.333333333333336,0.3605807894870892,0.3672818157810231,0.6193876098502046,0.5916246211135079,0.5960108622909795,0.5960108622909795,5.430966976409234,5.658327196854894,6.928527576767155,10.648233794538086,17.436181751081936,18.928822829328713,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,1812.3199999999993,True,8.033333333333335,True,TP,1.0,202.66641908330493,188.44152761031205,216.94076920060346,202.78858303319743,188.78050191519793,217.10996605608287,202.78413247432135,188.5798139637065,216.9477204960156,202.84826244546198,188.76271457758025,216.9111207516454,164.00735624449226,151.62802881562567,176.46442159970118,131.9350335926691,121.02808251213197,143.03709067437774,-25.643368742598255,-12.64537103570585,-0.6146623999999998,-20.943928035982005,,
6,229,235.0,,,33931.0,,2021-11-03 17:46:24+00:00,,,,Methane,,255.55313230531615,,,,3.3438592000000003,,,,,2021-11-03 17:46:39+00:00,1.0,Sonic,Bridger,2,,,,,,,11270.2,4.0,308188.0,11270.2,False,,11243.043333333333,11234.973333333333,11236.434444444445,11232.053,9087.887166666666,7312.0618888888885,AZ,3.7023333333333337,3.573,3.4016666666666664,2.9348,2.7705166666666665,2.7705166666666665,28.566666666666666,32.016666666666666,33.13333333333333,43.08,38.86,36.333333333333336,0.3605807894870892,0.3672818157810231,0.6193876098502046,0.5916246211135079,0.5960108622909795,0.5960108622909795,5.430966976409234,5.658327196854894,6.928527576767155,10.648233794538086,17.436181751081936,18.928822829328713,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,1812.3199999999993,True,8.033333333333335,True,TP,1.0,202.82677167368786,188.76597528356356,216.89612700449555,202.79799726015386,188.845931645516,217.11373945168805,202.80726030073046,188.74555017927878,217.12870712248568,202.55659575997387,188.7310150093949,216.67301397373944,164.0155945104762,151.6232643843861,176.417324246556,131.98643338292888,121.35723052382905,142.99440926096767,52.75513504516229,26.013637095975266,0.4090592000000002,13.938230884557726,,
7,343,351.0,,,33931.0,,2021-11-03 17:46:24+00:00,,,,Methane,,224.73787585182137,,,,2.9415232,,,,,2021-11-03 17:46:39+00:00,1.0,Sonic,Bridger,3,,,,,,,11270.2,4.0,308188.0,11270.2,False,,11243.043333333333,11234.973333333333,11236.434444444445,11232.053,9087.887166666666,7312.0618888888885,AZ,3.7023333333333337,3.573,3.4016666666666664,2.9348,2.7705166666666665,2.7705166666666665,28.566666666666666,32.016666666666666,33.13333333333333,43.08,38.86,36.333333333333336,0.3605807894870892,0.3672818157810231,0.6193876098502046,0.5916246211135079,0.5960108622909795,0.5960108622909795,5.430966976409234,5.658327196854894,6.928527576767155,10.648233794538086,17.436181751081936,18.928822829328713,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,1812.3199999999993,True,8.033333333333335,True,TP,1.0,202.8869755561289,188.65833939316047,217.089998229901,202.7115289677088,188.78066525666236,216.70067383673492,202.82495315377744,188.73926950433008,216.90014887864456,202.71453261733376,188.6781343609317,216.66028751981753,164.04043040068183,151.60436334603327,176.3647916941214,131.87906117163047,121.04496390978693,142.78783536483795,22.02634688411257,10.865857998447284,0.006723199999999707,0.22908545727135435,,
8,2,4.0,,,33931.0,,2021-11-03 17:50:38+00:00,,,,Methane,,265.77450185856003,,,,2.704592,,,,,2021-11-03 17:50:41+00:00,1.0,HRRR,Bridger,1,,,,,,,11170.4,4.0,308188.0,11170.4,False,,11234.736666666668,11247.925,11247.691111111111,11252.908333333333,11234.616333333333,9196.861,AZ,3.423,3.1361666666666665,2.9715555555555557,3.0510666666666664,2.919633333333333,2.919633333333333,47.9,38.46666666666667,36.733333333333334,38.42666666666667,38.49166666666667,36.82888888888889,0.3349333438575359,0.4911628942627626,0.47936032074381896,0.698572023341103,0.6355263081647399,0.6355263081647399,5.87425710636919,15.085593831299459,52.000388935451284,36.20618152781334,29.802464809756664,24.92528655354427,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,2648.894999999999,True,12.066666666666666,True,TP,1.0,202.70446399384264,188.83384418878984,216.70145962489124,202.94964644253926,189.1544368008699,217.10136264008824,202.91174453779306,188.95333936046433,217.14255340990087,202.93442247276082,188.9163420650947,217.17990004151332,202.67211955565963,188.5470947102293,216.70754102194016,166.02224240873647,153.77879031029786,178.1967079896843,62.82485541602077,30.955883154892927,-0.3464746666666665,-11.355853690512603,,
9,116,120.0,,,33931.0,,2021-11-03 17:50:38+00:00,,,,Methane,,234.43022812689358,,,,2.3827232,,,,,2021-11-03 17:50:41+00:00,1.0,NAM12,Bridger,1,,,,,,,11170.4,4.0,308188.0,11170.4,False,,11234.736666666668,11247.925,11247.691111111111,11252.908333333333,11234.616333333333,9196.861,AZ,3.423,3.1361666666666665,2.9715555555555557,3.0510666666666664,2.919633333333333,2.919633333333333,47.9,38.46666666666667,36.733333333333334,38.42666666666667,38.49166666666667,36.82888888888889,0.3349333438575359,0.4911628942627626,0.47936032074381896,0.698572023341103,0.6355263081647399,0.6355263081647399,5.87425710636919,15.085593831299459,52.000388935451284,36.20618152781334,29.802464809756664,24.92528655354427,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,2648.894999999999,True,12.066666666666666,True,TP,1.0,202.64569787247214,188.49901099656125,216.9135831428294,203.00444623566173,188.91799081429193,217.1289036909114,202.9404393276261,189.10718350531323,217.04482760738384,203.0306481853072,188.8429210247477,217.12242870447054,202.7444669578589,188.45925435201912,216.86278156740758,165.91309910998783,153.62265988093603,178.34819207577465,31.42578189123185,15.480341674265896,-0.6683434666666663,-21.90523969759209,,
