,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,Round 3 test set,WindType,OperatorSet,UnblindingStage,Notes,Satellite,Team,UncertaintyTypeManual,WindSpeedLow,WindSpeedHigh,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,cr_scfh_mean300,cr_scfh_mean600,cr_scfh_mean900,TestLocation,Wind_MPS_mean30,Wind_MPS_mean60,Wind_MPS_mean90,Wind_MPS_mean300,Wind_MPS_mean600,Wind_MPS_mean900,Wind_dir_mean30,Wind_dir_mean60,Wind_dir_mean90,Wind_dir_mean300,Wind_dir_mean600,Wind_dir_mean900,Wind_MPS_sd30,Wind_MPS_sd60,Wind_MPS_sd90,Wind_MPS_sd300,Wind_MPS_sd600,Wind_MPS_sd900,Wind_dir_sd30,Wind_dir_sd60,Wind_dir_sd90,Wind_dir_sd300,Wind_dir_sd600,Wind_dir_sd900,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeDevelopTime,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600,cr_kgh_CH4_mean900,cr_kgh_CH4_lower900,cr_kgh_CH4_upper900,FlowError_kgh,FlowError_percent,WindError_mps,WindError_percent,datetime_UTC,Altitude (feet)
0,456,2.0,3.0,1.0,1.0,,2021-07-30 15:32:55+00:00,,,,Methane,121.823643,,#VALUE!,#VALUE!,,2.713584705,,,0.0,,2021-07-30 15:32:44+00:00,0.0,HRRR,CarbonMapper,1,,,,,,,4206.0,2.0,162928.0,4206.0,False,,4210.833333333333,4205.333333333333,4185.788888888889,3865.93,2055.2166666666667,,TX,2.3513333333333337,2.7430000000000003,2.8103333333333333,2.6321666666666665,2.7062833333333334,2.7062833333333334,177.26666666666668,180.48333333333332,179.6888888888889,163.3,156.66833333333332,160.57555555555555,0.27413479359151766,0.5285102182999446,0.47150595454198274,0.5473111276569005,0.5818263396737235,0.5818263396737235,10.352188951709776,9.94815657341,8.868128065199762,15.764254047864235,15.805844016185613,16.75086909312872,2021-07-30 15:30:04+00:00,2021-07-30 15:35:34+00:00,2001.0,459.495,True,2.6666666666666665,True,ER_FAL,-1.0,68.04878957667529,53.697418747851685,82.4995560209514,67.94936306906068,53.67361357997886,82.21325105021276,67.5999333032231,53.259098559936945,81.83063796302163,62.48828927202721,48.43074041281236,76.57907101156593,33.18118563702793,19.64712870436339,46.69698825640541,,,,,,0.08141803833333361,3.0931946431963633,2021-07-30 15:32:50+00:00,12100
1,457,3.0,190.0,1.0,1.0,,2021-07-30 15:34:56+00:00,,,,Methane,,,#VALUE!,#VALUE!,,,,,2.0,,2021-07-30 15:34:32+00:00,0.0,HRRR,CarbonMapper,1,,,,,,,4462.8,2.0,162928.0,4462.8,False,,4435.066666666667,4437.026666666668,4396.266666666666,4184.445999999999,2842.9773333333333,,TX,2.096,2.485,2.722111111111111,2.777166666666667,2.650233333333333,2.650233333333333,156.16666666666666,160.83333333333334,161.61111111111111,166.77333333333334,159.24833333333333,161.2111111111111,0.3211144387264681,0.4811092409161458,0.6184967176653436,0.5421081469894363,0.5840317634542079,0.5840317634542079,10.875734880705878,13.237295369545745,11.218658659675754,13.779751839495093,15.020408950178446,16.549379674730005,2021-07-30 15:30:04+00:00,2021-07-30 15:35:34+00:00,2001.0,745.5350000000001,True,4.466666666666667,True,FN,0.0,71.74822566970703,57.754090613224406,85.8544911414784,71.69105115075965,57.51585878860358,85.68755385580123,70.95991695359874,56.624551463832624,85.37772110200943,67.59958236997926,53.82451534165936,81.82324856254505,46.04227417389329,32.399711220141235,59.75585130500096,,,,,,,,2021-07-30 15:34:26+00:00,12050
2,458,4.0,4.0,1.0,1.0,,2021-07-30 15:36:42+00:00,,,,Methane,143.4050208,360.874286,467.896269,253.852303,,2.713584705,,,1.0,,2021-07-30 15:36:26+00:00,0.0,HRRR,CarbonMapper,1,,,,,,,22372.3,2.0,162928.0,22372.3,False,,22247.193333333333,22193.649999999998,17825.588888888888,8368.502,5694.312666666667,3796.2084444444445,TX,1.3589999999999998,1.4244999999999999,1.7934444444444444,2.4061333333333335,2.488366666666667,2.488366666666667,201.3,192.76666666666668,175.87777777777777,170.19,163.87166666666667,160.60777777777778,0.14169783294767369,0.4039064541806635,0.6289712683656344,0.7020665021684906,0.661547989031695,0.661547989031695,17.786376033742734,25.334619354810606,31.850009358394864,21.151956194075925,18.53639286168569,18.617947539528263,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,68.03499999999998,False,0.8666666666666667,True,NE,-1.0,359.8494442516597,335.6506977530094,386.38143033019577,358.7082419295724,334.2370384029161,385.1379782801638,288.18247208956734,266.8725634937949,310.36971527755,135.22419764849266,119.6091377750223,151.07214828040733,92.12575696986299,77.59069535085548,106.94160516823442,61.29451287436866,47.02825077583772,75.8470067902525,2.1660440704275743,0.6038456375509901,0.3074513716666667,12.777819392109055,2021-07-30 15:36:11+00:00,12100
3,683,229.0,1,1.0,1.0,,2021-07-30 15:36:42+00:00,,,,Methane,143.4050208,157.5908179,212.8760449,102.3055909,,1.185,,,1.0,,2021-07-30 15:36:26+00:00,0.0,Sonic,CarbonMapper,2,,,,,,,22372.3,2.0,162928.0,22372.3,False,,22247.193333333333,22193.649999999998,17825.588888888888,8368.502,5694.312666666667,3796.2084444444445,TX,1.3589999999999998,1.4244999999999999,1.7934444444444444,2.4061333333333335,2.488366666666667,2.488366666666667,201.3,192.76666666666668,175.87777777777777,170.19,163.87166666666667,160.60777777777778,0.14169783294767369,0.4039064541806635,0.6289712683656344,0.7020665021684906,0.661547989031695,0.661547989031695,17.786376033742734,25.334619354810606,31.850009358394864,21.151956194075925,18.53639286168569,18.617947539528263,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,68.03499999999998,False,0.8666666666666667,True,NE,-1.0,359.71829548980963,334.72234995297976,385.8997253729554,358.9436506703283,334.26614580789175,385.10305640118594,288.24905999777366,267.3178171735622,310.9016083282301,135.35824723264113,119.76148278094894,151.51657096600545,92.08020401536925,77.76150121793044,106.60901688856849,61.36944421161071,47.295590473961305,75.43575167800071,-201.3528327703283,-56.09594497473386,-1.2211333333333334,-50.75085891610329,2021-07-30 15:36:11+00:00,12100
4,846,392.0,F1,1.0,1.0,,2021-07-30 15:36:42+00:00,,,,Methane,199.8324298,108.251997,136.2775816,80.22641241,,1.185,,,1.0,,2021-07-30 15:36:26+00:00,0.0,Sonic,CarbonMapper,3,,,,,,,22372.3,2.0,162928.0,22372.3,False,,22247.193333333333,22193.649999999998,17825.588888888888,8368.502,5694.312666666667,3796.2084444444445,TX,1.3589999999999998,1.4244999999999999,1.7934444444444444,2.4061333333333335,2.488366666666667,2.488366666666667,201.3,192.76666666666668,175.87777777777777,170.19,163.87166666666667,160.60777777777778,0.14169783294767369,0.4039064541806635,0.6289712683656344,0.7020665021684906,0.661547989031695,0.661547989031695,17.786376033742734,25.334619354810606,31.850009358394864,21.151956194075925,18.53639286168569,18.617947539528263,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,68.03499999999998,False,0.8666666666666667,True,NE,-1.0,359.57401076360634,335.3191221462673,385.9997952275648,358.6969811524141,334.6932375320077,384.08271654312813,288.146384039137,266.75958620299053,310.792343961751,135.39635685920288,120.03438557571866,151.0501925918364,91.96558532854235,77.49242809803147,106.87542050883286,61.38842831855082,47.18333976765362,75.66972047966425,-250.44498415241407,-69.82076719681044,-1.2211333333333334,-50.75085891610329,2021-07-30 15:36:11+00:00,12100
5,459,5.0,5.0,1.0,1.0,,2021-07-30 15:38:44+00:00,,,,Methane,136.821051,548.6662023,714.3727898,382.9596148,,2.713584705,,,1.0,,2021-07-30 15:38:29+00:00,0.0,HRRR,CarbonMapper,1,,,,,,,22295.8,2.0,162928.0,22295.8,False,,22272.716666666667,22264.158333333333,22242.933333333334,15767.998333333333,9897.7825,6840.738888888889,TX,3.689,3.6270000000000002,3.0833333333333335,2.291466666666667,2.5168666666666666,2.5168666666666666,153.4,150.96666666666667,158.34444444444443,169.38,166.41166666666666,162.0222222222222,0.2954172969044455,0.373337217493934,0.8832358790139433,0.9192267265505776,0.78342161782424,0.78342161782424,4.910228592189674,6.064530573215781,13.612751054099379,25.449844438420165,21.250918406288477,19.8606254796889,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,380.30000000000007,True,2.9166666666666665,True,TP,1.0,360.22992842331155,336.22027356498745,385.9248025936126,359.82898618561137,334.97292783860576,386.1853076992814,359.5474860387017,335.33799125704786,385.71490490165104,254.8413969815684,235.00639025719838,275.21357870941307,160.11622412506253,143.87512233938386,176.76458952030606,110.68314464601117,95.6993033366996,125.75997794058222,188.83721611438864,52.47971213107894,0.42211803833333317,18.4213038956127,2021-07-30 15:38:23+00:00,12150
6,684,230.0,2,1.0,1.0,,2021-07-30 15:38:44+00:00,,,,Methane,136.821051,752.4927079,940.0166487,564.9687671,,3.721666667,,,1.0,,2021-07-30 15:38:29+00:00,0.0,Sonic,CarbonMapper,2,,,,,,,22295.8,2.0,162928.0,22295.8,False,,22272.716666666667,22264.158333333333,22242.933333333334,15767.998333333333,9897.7825,6840.738888888889,TX,3.689,3.6270000000000002,3.0833333333333335,2.291466666666667,2.5168666666666666,2.5168666666666666,153.4,150.96666666666667,158.34444444444443,169.38,166.41166666666666,162.0222222222222,0.2954172969044455,0.373337217493934,0.8832358790139433,0.9192267265505776,0.78342161782424,0.78342161782424,4.910228592189674,6.064530573215781,13.612751054099379,25.449844438420165,21.250918406288477,19.8606254796889,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,380.30000000000007,True,2.9166666666666665,True,TP,1.0,360.23402506939675,335.7227143635039,385.7927088790916,360.21132157097963,336.2835032977627,385.9761105352568,359.48468709879944,335.0432451346807,385.35000895234634,254.7259209389113,234.92329830238316,275.9109256669479,160.08079371482697,144.25222730343748,176.89749695183576,110.57934380332443,95.44766810319317,125.75381275431434,392.2813863290204,108.90312514836415,1.430200000333333,62.414174342488046,2021-07-30 15:38:23+00:00,12150
7,847,393.0,F2,1.0,1.0,,2021-07-30 15:38:44+00:00,,,,Methane,193.238195,850.3634079,895.2936314,805.4331844,,3.721666667,,,1.0,,2021-07-30 15:38:29+00:00,0.0,Sonic,CarbonMapper,3,,,,,,,22295.8,2.0,162928.0,22295.8,False,,22272.716666666667,22264.158333333333,22242.933333333334,15767.998333333333,9897.7825,6840.738888888889,TX,3.689,3.6270000000000002,3.0833333333333335,2.291466666666667,2.5168666666666666,2.5168666666666666,153.4,150.96666666666667,158.34444444444443,169.38,166.41166666666666,162.0222222222222,0.2954172969044455,0.373337217493934,0.8832358790139433,0.9192267265505776,0.78342161782424,0.78342161782424,4.910228592189674,6.064530573215781,13.612751054099379,25.449844438420165,21.250918406288477,19.8606254796889,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,380.30000000000007,True,2.9166666666666665,True,TP,1.0,360.06154890208074,335.0983212207903,386.30481498704324,360.10938238891276,335.8646860699925,385.9381700945239,359.37038229006987,335.07913241227453,384.98715286884266,254.9474579025635,235.1861992603777,276.06776864173975,159.9977875462589,143.57789302903288,176.69821103787848,110.60577010535924,95.66754296070253,125.55689345225308,490.2540255110872,136.14030888582073,1.430200000333333,62.414174342488046,2021-07-30 15:38:23+00:00,12150
8,460,6.0,6.0,1.0,1.0,,2021-07-30 15:40:32+00:00,,,,Methane,147.122398,268.4612251,326.6470969,210.2753534,,2.713584705,,,1.0,,2021-07-30 15:40:16+00:00,0.0,HRRR,CarbonMapper,1,,,,,,,22185.8,2.0,162928.0,22185.8,False,,22121.719999999998,22115.52,22141.47333333333,21961.704666666665,13178.101333333332,9474.799555555555,TX,3.198666666666667,3.3185000000000002,3.108666666666667,2.5476,2.6278333333333332,2.6278333333333332,167.76666666666668,170.25,167.67777777777778,173.16,169.45,164.35,0.2963424548975441,0.4319754583424579,0.5190877910637689,1.0442152675974425,0.829159704307703,0.829159704307703,5.230437005100312,6.242622764758241,6.6193923102339784,22.879670694825645,19.497720426664827,18.823598601056048,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,729.8050000000001,True,4.7,True,TP,1.0,357.6109254740914,333.27277838312824,383.3474524554788,357.76488258304073,333.51228916556556,384.0913171787667,357.7752836956077,333.7509069612551,383.6573185590313,354.8076669012771,331.00567078654626,380.5441469549432,213.0342905019633,194.91231435876716,231.86522045218624,153.12949782632157,136.86742040381336,169.37685286947257,-89.30365748304075,-24.961549282946322,0.16598470500000007,6.51533619877532,2021-07-30 15:40:04+00:00,12025
9,685,231.0,3,1.0,1.0,,2021-07-30 15:40:32+00:00,,,,Methane,147.122398,326.8393959,379.1004638,274.5783281,,3.303666667,,,1.0,,2021-07-30 15:40:16+00:00,0.0,Sonic,CarbonMapper,2,,,,,,,22185.8,2.0,162928.0,22185.8,False,,22121.719999999998,22115.52,22141.47333333333,21961.704666666665,13178.101333333332,9474.799555555555,TX,3.198666666666667,3.3185000000000002,3.108666666666667,2.5476,2.6278333333333332,2.6278333333333332,167.76666666666668,170.25,167.67777777777778,173.16,169.45,164.35,0.2963424548975441,0.4319754583424579,0.5190877910637689,1.0442152675974425,0.829159704307703,0.829159704307703,5.230437005100312,6.242622764758241,6.6193923102339784,22.879670694825645,19.497720426664827,18.823598601056048,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,729.8050000000001,True,4.7,True,TP,1.0,357.68955281110897,333.4956584884197,383.6441702332758,357.33097636393273,333.13525263621557,383.41530514272677,357.89792339425094,334.09976626852495,384.30573559665913,355.1422496457499,330.731234406419,381.5644819588207,213.09389208144103,194.81371028435538,231.88321010717348,153.25263924730973,137.51235615965737,169.58475188175004,-30.491580463932735,-8.533147832355239,0.7560666669999998,29.677605079290302,2021-07-30 15:40:04+00:00,12025
10,848,394.0,F3,1.0,1.0,,2021-07-30 15:40:32+00:00,,,,Methane,188.9047379,314.4977559,346.7172462,282.2782656,,3.303666667,,,1.0,,2021-07-30 15:40:16+00:00,0.0,Sonic,CarbonMapper,3,,,,,,,22185.8,2.0,162928.0,22185.8,False,,22121.719999999998,22115.52,22141.47333333333,21961.704666666665,13178.101333333332,9474.799555555555,TX,3.198666666666667,3.3185000000000002,3.108666666666667,2.5476,2.6278333333333332,2.6278333333333332,167.76666666666668,170.25,167.67777777777778,173.16,169.45,164.35,0.2963424548975441,0.4319754583424579,0.5190877910637689,1.0442152675974425,0.829159704307703,0.829159704307703,5.230437005100312,6.242622764758241,6.6193923102339784,22.879670694825645,19.497720426664827,18.823598601056048,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,729.8050000000001,True,4.7,True,TP,1.0,357.6331024141379,333.1624310431495,383.65351295411006,357.576261442505,333.2614462379825,383.22297436425083,357.7450175090889,333.5205037238557,383.905095719633,354.94659146327086,330.97954269707446,381.02128477819264,213.01504683911978,194.7043234748915,231.8063181100757,153.21548141898444,137.57410643075943,169.55881659828253,-43.078505542504956,-12.047361692501948,0.7560666669999998,29.677605079290302,2021-07-30 15:40:04+00:00,12025
