,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,WindType,OperatorSet,UnblindingStage,Notes,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,cr_scfh_mean300,cr_scfh_mean600,TestLocation,Wind_MPS_mean300,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeDevelopTime,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600
10,230,236.0,,,33931,,2021-11-03 17:50:38+00:00,,,,Methane,,285.78269105797807,,,,2.90576,,,,,2021-11-03 17:50:41+00:00,Sonic,Bridger,2,,11170.4,4.0,308188.0,11170.4,False,,11234.736666666668,11247.925,11247.691111111111,11252.908333333333,11234.616333333333,AZ,3.0510666666666664,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,2648.894999999999,True,12.066666666666666,True,TP,1.0,202.74946969661207,188.97157072431332,216.73508146683832,202.78811585907107,188.88755034910648,216.8209052874503,203.074816754011,188.88640225019586,217.32735841204766,203.03417714860873,188.73252353340902,217.1919127719919,202.68913940311757,188.67600618975382,216.6992467360463
11,344,352.0,,,33931,,2021-11-03 17:50:38+00:00,,,,Methane,,270.55455083632467,,,,2.749296,,,,,2021-11-03 17:50:41+00:00,Sonic,Bridger,3,,11170.4,4.0,308188.0,11170.4,False,,11234.736666666668,11247.925,11247.691111111111,11252.908333333333,11234.616333333333,AZ,3.0510666666666664,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,2648.894999999999,True,12.066666666666666,True,TP,1.0,202.58936027853684,188.7870992791216,216.75712543650553,202.9770551782855,189.0433615144642,216.68313024433257,202.99363975369664,188.90510167437978,217.05321821665427,203.08256514738758,188.97006955774697,217.40466664045837,202.53761414985578,188.09301808347456,216.46292412370116
12,3,5.0,,,33931,,2021-11-03 17:54:28+00:00,,,,Methane,,227.06177318093225,,,,2.68224,,,,,2021-11-03 17:54:45+00:00,HRRR,Bridger,1,,11152.9,4.0,308188.0,11152.9,False,,11148.343333333332,11159.08,11158.567777777778,11202.047999999999,11225.383000000002,AZ,3.2639,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,3451.289999999999,True,16.133333333333336,True,TP,1.0,201.01453905693182,186.83353302456993,215.25732244998142,201.34267615061103,187.30165455946317,215.10894437044425,201.3818342329618,187.39151088418234,215.33498465889124,202.13004479048755,188.65966802758214,215.57826022679671,202.5905141459393,188.99784264915647,216.55825231892746
13,117,121.0,,,33931,,2021-11-03 17:54:28+00:00,,,,Methane,,201.59336993181452,,,,2.3827232,,,,,2021-11-03 17:54:45+00:00,NAM12,Bridger,1,,11152.9,4.0,308188.0,11152.9,False,,11148.343333333332,11159.08,11158.567777777778,11202.047999999999,11225.383000000002,AZ,3.2639,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,3451.289999999999,True,16.133333333333336,True,TP,1.0,201.08817888358473,187.076761451548,215.09364254709686,201.39911522756407,187.55468838429803,215.37979626176312,201.4607732343764,187.47060495239683,215.4735199330518,202.03573477017298,187.94498949761928,216.30370266183985,202.5755897826629,188.6816905594564,216.89527646150685
14,231,237.0,,,33931,,2021-11-03 17:54:28+00:00,,,,Methane,,241.00515715559754,,,,2.8476448,,,,,2021-11-03 17:54:45+00:00,Sonic,Bridger,2,,11152.9,4.0,308188.0,11152.9,False,,11148.343333333332,11159.08,11158.567777777778,11202.047999999999,11225.383000000002,AZ,3.2639,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,3451.289999999999,True,16.133333333333336,True,TP,1.0,201.22992866657992,186.92790853756614,215.14375450733544,201.32614226787112,187.21277789798245,215.11071114302138,201.35787727026022,187.63083961209432,215.2722641707614,202.17514514529051,188.01002984379272,216.29508616115012,202.4615127453971,188.41988866482964,216.22201670477827
15,345,353.0,,,33931,,2021-11-03 17:54:28+00:00,,,,Methane,,229.78243346867183,,,,2.7135328000000003,,,,,2021-11-03 17:54:45+00:00,Sonic,Bridger,3,,11152.9,4.0,308188.0,11152.9,False,,11148.343333333332,11159.08,11158.567777777778,11202.047999999999,11225.383000000002,AZ,3.2639,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,3451.289999999999,True,16.133333333333336,True,TP,1.0,201.08400845156171,186.89335219338392,215.2400345764735,201.4033104443274,187.32789783666414,215.1746082532872,201.3143944898057,187.60964228548445,215.2844198282108,202.17755102205408,187.96797417766547,216.22675133492095,202.55311544016675,188.70851780369077,216.51466064382623
16,4,6.0,,,33931,,2021-11-03 17:58:31+00:00,,,,Methane,,263.35613715834705,,,,2.7537664,,,,,2021-11-03 17:58:34+00:00,HRRR,Bridger,1,,11063.0,4.0,308188.0,11063.0,False,,11121.376666666667,11123.48,11126.691111111111,11138.009333333333,11181.170666666667,AZ,2.9709333333333334,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,4137.499999999999,True,19.95,True,TP,1.0,200.6633324857262,186.89789505394535,214.54536130553112,200.61186110130603,186.61862554162192,214.6766526134062,200.67033553220503,186.61407682529233,214.70377638932897,200.91122564970695,186.94975725650843,215.11190374019955,201.69789744930205,187.52186056738137,215.6823037677591
17,118,122.0,,,33931,,2021-11-03 17:58:31+00:00,,,,Methane,,235.43158226057554,,,,2.4631904,,,,,2021-11-03 17:58:34+00:00,NAM12,Bridger,1,,11063.0,4.0,308188.0,11063.0,False,,11121.376666666667,11123.48,11126.691111111111,11138.009333333333,11181.170666666667,AZ,2.9709333333333334,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,4137.499999999999,True,19.95,True,TP,1.0,200.70441642776703,186.48654586194053,214.72085913787313,200.59511348453924,186.74160431654565,214.71053560864283,200.74383665919655,186.44921870821406,214.78118007392536,200.94254817074136,187.07256172627672,215.0956585562776,201.7807133959306,187.5785489685923,215.914898696833
18,232,238.0,,,33931,,2021-11-03 17:58:31+00:00,,,,Methane,,293.62348285944984,,,,3.0711648,,,,,2021-11-03 17:58:34+00:00,Sonic,Bridger,2,,11063.0,4.0,308188.0,11063.0,False,,11121.376666666667,11123.48,11126.691111111111,11138.009333333333,11181.170666666667,AZ,2.9709333333333334,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,4137.499999999999,True,19.95,True,TP,1.0,200.66835836803975,186.6019658862078,214.29321113234968,200.605959821698,186.59675650991457,214.57366147197007,200.80401491198498,186.57183859227845,214.85531974195976,200.84965924336817,186.76444832965487,214.80981275952192,201.81154339222383,187.8612802073189,216.04879484840913
19,346,354.0,,,33931,,2021-11-03 17:58:31+00:00,,,,Methane,,273.84201535067666,,,,2.8655264,,,,,2021-11-03 17:58:34+00:00,Sonic,Bridger,3,,11063.0,4.0,308188.0,11063.0,False,,11121.376666666667,11123.48,11126.691111111111,11138.009333333333,11181.170666666667,AZ,2.9709333333333334,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,4137.499999999999,True,19.95,True,TP,1.0,200.56742935903202,186.45767192657752,214.55634315894048,200.69087900599382,186.76866050042136,214.7643390663616,200.83850052379617,186.596188562138,215.06465306184242,201.0255351347914,187.00903642283959,214.82204981461612,201.67436338583957,187.60839715743575,215.85976014936873
